"Table 5.32: Expenditure Estimate for training programs","","","","","","","",""
"No","Activity","Number of trainings","Duration in Days","Total   of Participants","Total cost  RS","Con  From DSD RS  Institution","Project Con  RS","Proposed training Partner"
,,,,,,,,
"1","Project Awareness and Orientation Program for 5 MWMs. (MWS-100-1,101-1,102,103-1,104,105,107-1 and 107-2)","Budget was allocated under MWS-100-1 Kundasale","PMU",,,,,
"2","Training of Trainers (for selected officers at DSD level)","Budget was allocated under MWS-100-1 Kundasale","DOA/TBD",,,,,
"3","Water Management Training for the Development officer of DAD in Kandy District","Budget was allocated under MWS-003 Pathahewahata","DAD/ KITI",,,,,
"4","Agriculture productivity improvement training for ARPAs and EDOs (MWS-100-1,101-1,102,103-1,104,105,107-1 and 107-2)","Budget was allocated under MWS-100-1 Kundasale","Natural Resources Management Center+ Export Agriculture Department",,,,,
"5","Good Practices in Agrochemicals and Fertilizer application for ARPAs and EDOs (MWS-100-1,101-1,102,103-1,104,105,107-1 and 107-2)","Budget was allocated under MWS-100-1 Kundasale","DOA/ Natural Resources Management Center/University",,,,,
"6","Climate Change Adaptation Training for MWMC (including Technical committee members)","1","1","19","62,710","2,500","60,210","DOA/University"
"7","Construction Supervisory – Basic Training for Economic Development Officers (MWS-100-1,101-1,102,103-1,104,105,107-1 and 107-2)","Budget was allocated under MWS-100-1 Kundasale","District Engineer of District Secretariat",,,,,
"8","Awareness on Water Quality Parameters and Testing Training for EDO (MWS-100-1,101-1,102,103-1,104,105,107-1 and 107-2)","Budget was allocated under MWS-100-1 Kundasale","National water supply and drainage board/Natural Resources Management Center",,,,,
"9","Forest Fire Prevention and Control Training for officers of Forest Department at Kandy District","Budget was allocated under MWS-124-2 (Doluwa)","Forest Department",,,,,
"10","Use of RS and GIS in Watershed management for Officers of Forest Department at Kandy District","Budget was allocated under MWS-124-2 (Doluwa)","Forest Department",,,,,
"11","Forest Restoration training for officers of Forest Department at Kandy District","Budget was allocated under MWS-124-2 (Doluwa)","Forest Department",,,,,
"12","Integrated Watershed Management training for Officers of Forest Department at Kandy District","Budget was allocated under MWS-124-2 (Doluwa)","Forest Department",,,,,
"13","Domestication and use of wild species for watershed management for officers of Forest Department at Kandy District","Budget was allocated under MWS-124-2 (Doluwa)","Forest Department",,,,,
"14","Training for Teachers on Environmental Conservation and Social Responsibility: Protecting the Environment- For Teachers (Kundasale DSD)","Budget was allocated under MWS-100-1 Kundasale","DOA/ Natural Resources Management Center/University",,,,,
"15","Training EDOs and SDO to conduct cascading training on Financial Literacy and Household Money Management (ToT)","Budget was allocated under MWS-100-1 Kundasale","CBSL Matale Regional office/CBSL HO",,,,,
"Training for Communities",,,,,,,,
"16","Exposure Visits to “A Park” for GPC, MDMWMC Members and Farmer Leaders Selected by ARPA. One visit/GND","12","1","600","1,123,200","-","1,123,200","Agriculture Park DoA"
"17","Soil and Water Conservation Training for GPC Community Members and identified Farmers. One Training/GND","12","1","600","806,400","-","806,400","Natural Resources Management Center/DOA"
"18","Good Practices in Agrochemicals and fertilizer application and Integrated Pest Managementfor GPC Community Members and Identified Farmers -One training/GND","12","1","600","793,800","-","793,800","DOA"
"19","Important of Home Garden Improvement for watershed Management (All 8 MWMs in Kundasale DSD)","Budget was allocated under MWS-100-1 Kundasale","Forest Department",,,,,
"20","Field Day for Soil and Water Conservation Practice and Method for GPC community leaders and Farmers","12","1","600","444,000","-","444,000","AI, AR&PA and EDO/Natural Resources Management Center"
"21","Field Day For Best Practices of Usage of Pesticide, Integrated Pest Control and Fertilizer Application for GPC community members and identified farmers. One training/GND","12","1","600","444,000","-","444,000","AI, AR&PA and EDO"
"22","Household Waste Disposal and Utilization (Compost and biogas preparation) for GPC members and farmers. One training/DSD","12","1","600","794,400","-","794,400","DOA/NRMC"
"23","Green Skill and Green Technology Concept for Youth and GPC members","12","1","480","891,600","30,000","861,600","DOA"
"24","Climate Change Adaptation training for GPC and selected farmers","12","1","600","708,000","-","708,000","AI,EDO"
"25","Conduct Field Day on Climatic Training Adaptation","12","1","600","420,000","-","420,000","AI & EDO"
"26","Forest Fire Prevention and Control GPC and community members","12","1","600","974,400",,"974,400","Forest Department"
"27","Responsible use of water resources for GPC/GWMC and community members","12","1","600","974,400",,"974,400","Forest Department"
"28","Important of environment conservation and social responsibility of community- For Student (Grade 11 and Above at Kundasale DSD)","20","1/2 day","Budget is not required","Trained Teachers",,,
"29","Training on Financial Literacy and Household Money Management for Families Selected for Livelihood Development under the Project and Selected Members on Women Development Organization (WDOs)","12","1","600","554,400",,"554,400","EDOs &SDO"
"30","Conduct Refresher Training on Household Money Management for GPC and Community Members","12","1","600","385,200",,"385,200","EDO and SDO"
"31","Career Guidance & Career Fair Event (Kundasale DSD)","Budget was allocated under MWS-100-1 Kundasale","Skills Development Officer & Human Resources Development Assistant of DSD",,,,,
"32","Gender and Social Inclusion Training","1","1","98","104,120","2,500","101,620","TBD"
"33","Community Training - livelihood and Marketing",,,,"675,000","-","675,000",
,"Total Estimated budget",,,,"10,155,630","35,000","10,120,630",
