"Table 5.5: Salient details of tanks in MWS-101-1","",""
"Tank Name","Pathaha","Hulu Ganga"
"GN","718 Gonawatta North","720 Maluwegama"
"MWS","MWS-101-1","MWS-101-1"
"DS","Kundasale","Kundasale"
"District","Kandy","Kandy"
"Custodianship","DAD","DAD or Forest Dept."
"Year of Construction","Not Known","Not known"
"Location (Lat)","7.312861","7.331511"
"Location (Lon)","80.729072","80.741763"
"Hydrological zone","-","-"
"Water Surface Area (approx.) (ha)","-","1.62"
"Catchment Area (gross) (km2)",,
"Catchment Area (net) (km2)",,
"Total command area (ha)","4.0","0.80"
"Farmer Organization",,
"F.O. registration number",,
"Reservations are available or not","No","Yes"
"Reservations are marked or not","No","No"
"Bund","RR Masonry","Earth"
"Bund Length (m)","18.00","-"
"Top width (m)","0.8","-"
"Visible bund height (m)","2.25","-"
"US & DS slopes (h/b)","US Vertical, DS Steps","-"
"Availability of rip rap","No","No"
"Spillway","Spill cum Sluice","-"
"Station (km+m)","Centre of the dam","-"
"Type","CO with Sluice","-"
"Length (m)","0.60","-"
"Observed Afflux (m)","-","-"
"Duration of spilling (days)","-","-"
"No of Sluices (nos)","1","-"
"Station/s (km+m)","Centre","-"
"Type/s","Steel lifting gate","-"
"Barrel size/s (mm)","600 w x 900 h","-"
"command area of the sluice (ha)","4.0","0.8"
"Rectification Details","-","Tree planting & paving rocks proposed"
