"Table 2.7: Occupational details of the community of MWS-102 (GN-wise)","","","","","","","","","","","","","","",""
"GND No","GND Name","Employment","NA","NA  1","NA  2","NA  3","NA  4","NA  5","NA  6","NA  7","NA  8","NA  9","NA  10","NA  11","NA  12"
,,"Executive manager","Clerk","Technician","Security sector","Foreign employment","Masonry","Carpenter","Animal Husbandry","Trade and businessperson","Apparel","Labourer","Agriculture sector","Plantation","Other"
"651","Sirimalwatta West","17","32","12","25","35","20","10","9","38","10","62","32","15","320"
"652","Degaldoruwa","12","37","26","62","36","46","8","14","5","104","102","54","0","148"
"684","Nattarampotha","69","153","128","46","229","23","2","1","176","148","43","0","0","8"
"685","Arangala North","23","21","2","31","11","9","3","9","17","27","61","8","0","125"
"654","Karattamada",,"4","8","14",,"7","1","10","13","17","25","2","0","130"
"690","Mahawatta East","15","46","8","8","22","26","5","3","10","45","22","4","1","5"
"658","Hapuwala","16","60","2","32","5","52","27","3","31","56","75","125","0","110"
"687","Mahawatta South","12","37","43","19","22","17","12","9","25","97","215","32","0","89"
"662","Pilawala South","13","3","6","28","22","15","5","9","16","21","47","32","0","0"
"655","Lewellagama","8","65","35","30","100","35","40","35","81","58","125","115","45","250"
"659","Deekirimadawala","27","48","35","41","13","37","30","29","40","35","41","48","0","231"
"665","Pallegunnepana South","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"692","Kundasale South*","71","183","72","134","285","17","8","0","0","0","0","0","0","0"
"691","Kundasale North","62","115","133","78","125","23","15","13","78","373","266","11",,"151"
"657","Amunugama South","15","55","28","58","25","25","15","15","18","50","48","60","0","180"
"683","Galmaduwa","24","305","388","134","112","101","12",,"12","240","30","1","0","0"
"686","Arangala South","21","18","27","23","54","49","7","5","21","67","43","2","0","127"
"688","Mahawatta West","30","13","27","12","30","12","4","3","18","45","95","21","2",
"689","Mahawatta North","13","20","22","12","45","27","4","10","50","25","20","21",,"124"
"650","Sirimalwatta East","54","79","12","26","32","6","6","4","23","18","24","20","4","221"
"653","Sirimalwatta Pallegama","22","56","10","22","29","26","3","22","34","36","58","12","0","287"
"660","Pilawala North","16","47","18","54","19","14","16","14","24","68","160","95","2","131"
"656","Amunugama North","28","82","79","37","22","92","5","15","24","41","67","45","2","286"
"663","Galapitaambe","5","17","8","43","29","47","1","11","12","49","61","31","0","115"
"664","Pallegunnepana North","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Total","573","1496","1129","969","1302","726","239","243","766","1630","1690","771","71","3038",
