"Table 5.10: Estimate for rehabilitation of “Hingurugollewa Pathaha” in 656 Amunugama North GND","",""
"Item","Work Description","Amount  LKR"
"1","Wet Silt removing from Canal or Tank beds and haul the surplus materials up to 1.6 km distance by machinery.(This rate is excluding of transporting of machinery)","416,520.00"
"2","Bund rehabilitation",
"2.1","Earth excavation and haul the surplus materials up to 1.6 km distance by Machinery. (This rate is excluding of transporting of machinery)","59,527.44"
"2.2","Forming tank bund machinery (This rate is excluding of transporting of machinery)","25,154.64"
"2.3","Cutting & planting turf (The rate without transport)","19,847.52"
"3","Gravelling the bund road",
"3.1","Gravel excavation for Canal or Tank and haul the surplus materials up to 1.6 km distance by Machinery. (This rate is excluding of transporting of machinery)","3,365.71"
"3.2","Forming tank bund machinery (This rate is excluding of transporting of machinery)","1,278.02"
"4","Transporting of earth moving machines","20,000.00"
"5","Miscellaneous","4,306.67"
,"CIVIL COST","550,000.00"
"6","Contingencies 10%","55,000.00"
,"TOTAL COST","605,000.00"
