"Table 5.13:Estimate for rehabilitation of “Galagodahinna Pathaha” in 662 Pilawala South GND","",""
"Item","Work Description","Amount  LKR"
"1","Wet Silt removing from Canal or Tank beds and haul the surplus materials up to 1.6 km distance by machinery.(This rate is excluding of transporting of machinery)","109,961.28"
"2","Bund rehabilitation",
"2.1","Earth excavation and haul the surplus materials up to 1.6 km distance by Machinery. (This rate is excluding of transporting of machinery)","39,227.76"
"2.2","Forming tank bund machinery (This rate is excluding of transporting of machinery)","16,576.56"
"2.3","Cutting & planting turf (The rate without transport)","13,403.52"
"3","Gravelling the bund road",
"3.1","Gravel excavation for Canal or Tank and haul the surplus materials up to 1.6 km distance by Machinery. (This rate is excluding of transporting of machinery)","2,083.54"
"3.2","Forming tank bund machinery (This rate is excluding of transporting of machinery)","791.15"
"4","Repairs to the Spill","25,000.00"
"5","Repairs to the Sluice","25,000.00"
"6","Supply & install of 300 mm CI gate complete set including Spindle, Housing, Base plate, Closing plate, Key, Brass nut, and other required accessories. (This rate is excluding of transport of materials)","108,600.00"
"7","Transporting of earth moving machines","20,000.00"
"8","Miscellaneous","4,356.19"
,"CIVIL COST","365,000.00"
"9","Contingencies 10%","36,500.00"
,"TOTAL COST","401,500.00"
