"Table 5.15: Estimate for rehabilitation of “Kalugala Amuna” in 689 Mahawaththa North GND","",""
"Item","Work Description","Amount  LKR"
"1","Wet Silt removing from Canal or Tank beds and haul the surplus materials up to 1.6 km distance by machinery.(This rate is excluding of transporting of machinery)","144,180.00"
"2","Supply & install of 450 mm CI gate complete set including Spindle, Housing, Base plate, Closing plate, Key, Brass nut, and other required accessories. (This rate is excluding of transport of materials)","161,400.00"
"3","Repairs to the sluice","25,000.00"
,"Concreting access road",
"4.1","Stripping topsoil and including cut and lift up to 1.5m and haul 60 m distance by machinery","2,772.00"
"4.2","1:3:6 (40mm) concrete with concrete mixer  (volume batching)","375,784.50"
"4.3","Plywood form work including making, fixing & removing for concrete canals at ground level -05 uses","25,524.00"
"4.2","Vegetative cover improving around structures (5m x 10m) with planting Arecanut seedling in 1.5m x 1.5m grid, and planting Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlings in 3.5m x 3.5 m grid","220,000.00"
"5","Transporting of earth moving machines","20,000.00"
"6","Miscellaneous","339.50"
,"CIVIL COST","975,000.00"
"7","Contingencies 10%","97,500.00"
,"TOTAL COST","1,072,500.00"
