"Table 5.16: Estimate for rehabilitation of “Janasavigama Loku Wewa” in 692 Kundasale South GND","",""
"Item","Work Description","Amount  LKR"
"1","Clearing and preparing the site","6,000.00"
"2","Leveling & Trimming Earth","1,293.60"
"3","Earth excavation for foundation or quarry materials and haul the surplus materials up to 30m by Manually.","2,196.18"
"4","Cutting, Bending & Placing tor steel reinforcement bars","136,650.00"
"5","1:2:4 (20mm) concrete manual mix  (volume batching)","185,020.08"
"6","For formwork","10,000.00"
"7","Vegetative cover improving around structures (5m x 10m) with planting Arecanut seedling in 1.5m x 1.5m grid, and planting Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlings in 3.5m x 3.5 m grid","88,000.00"
"8","Miscellaneous","3,840.14"
,"CIVIL COST","433,000.00"
"9","Contingencies 10%","43,300.00"
,"TOTAL COST","476,300.00"
