"Table 5.17: Estimate for rehabilitation of “Janasavigama Kuda Wewa” in 692 Kundasale South GND","",""
"Item","Work Description","Amount  LKR"
"1","Clearing and preparing the site","6,000.00"
"2","Earth excavation for foundation or quarry materials and haul the surplus materials up to 30m. by Machinery. (This rate is excluding of transporting of machinery) -Benching","45,750.00"
"3","Earth excavation for foundation or quarry materials and haul the surplus materials up to 30m by Manually. -Core trench","24,429.89"
"4","Construction of puddle core wall including making puddle (without transport)","115,184.52"
"5","Earth excavation and haul the surplus materials up to 1.6 km distance by Machinery. (This rate is excluding of transporting of machinery)","47,631.10"
"6","Forming tank bund machinery (This rate is excluding of transporting of machinery)","20,127.58"
"7","Cutting, transporting, planting & watering turf (excluding cost of turf)","5,473.05"
"8","Vegetative cover improving around structures (5m x 10m) with planting Arecanut seedling in 1.5m x 1.5m grid, and planting Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlings in 3.5m x 3.5 m grid","110,000.00"
"9","Transporting of earth moving machines","20,000.00"
"10","Miscellaneous","403.87"
,"CIVIL COST","395,000.00"
"11","Contingencies 10%","39,500.00"
,"TOTAL COST","434,500.00"
