"Table 5.2: Key ON-FARM activties proposed for soil and water conservation in MWS-102 belongs to Kundasale DS Division","","","","","","","","","","","",""
"No","GN Division No","GN Division","Key Activities proposed for Soil and Water conservation","Priority based on Soil Erosion Hazard","Coordinates","Quantity","Proposed measure s","Uniti Cost  Rs","Total Cost  Rs","Contribution","Time frame for the implementation","NA"
,,,,,"N","E",,,,,,
"1","650","Sirimalwaththa East","1. Soil conservation practices - Temple garden (40°-60°)","1","7.306667","80.655736","2 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250.00 m-1","500,000.00","Labour and other basic services by the Local community","0.25 Years"
"Sub Total","500,000.00",,,,,,,,,,,
"2","651","Sirimalwaththa West",,"No special issues are reported",,,,,,,,
"3","652","Degaldoruwa",,"No special issues are reported",,,,,,,,
"4","653","Sirimalwaththa Pallegama",,"No special issues are reported",,,,,,,,
"5","654","Karaththamada","1. Soil conservation practices (40°-60°)","3","7.291943","80.664345","12 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250.00 m-1","3,000,000.00","Labour and other basic services by the Local community","0.5 Years"
,,,"2. Soil conservation practices (40°-60°)","3","7.291214","80.664299","12 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250.00 m-1","3,000,000.00","Labour and other basic services by the Local community","0.5 Years"
,,,"3. Soil conservation practices (40°-60°)","2","7.292065","80.665515","12 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250.00 m-1","3,000,000.00","Labour and other basic services by the Local community","0.5 Years"
"Sub Total","9,000,000.00",,,,,,,,,,,
"6","655","Levallagama","1. Soil conservation practices - Ranhinda (40°-55°)","1","7.296446","80.662203","4 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250.00 m-1","1,000,000.00","Labour and other basic services by the Local community","0.5 Years"
"Sub Total","1,000,000.00",,,,,,,,,,,
"7","656","Amunugama North","No special issues are reported",,,,,,,,,
"8","657","Amunugama South","1. Soil conservation practices (40°-50°)","2","7.308305","80.664153","1.25 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250.00 m-1","312,500.00","Labour and other basic services by the Local community","0.25 Years"
"Sub Total","312,500.00",,,,,,,,,,,
"9","658","Hapuwala","1. Soil conservation practices (40°-50°)","1","7.300268","80.670563","2 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250.00 m-1","500,000.00","Labour and other basic services by the Local community","0.25 Years"
,,,"2. Soil conservation practices (40°-50°)","1","7.297121","80.672011","2 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250.00 m-1","500,000.00","Labour and other basic services by the Local community","0.25 Years"
,,,"3. Soil conservation practices (40°-50°)","3","7.297961","80.670979","2 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250.00 m-1","500,000.00","Labour and other basic services by the Local community","0.25 Years"
"Sub Total","1,500,000.00",,,,,,,,,,,
"10","659","Deekirimadawala","No special issues are reported",,,,,,,,,
"11","660","Pilawala North","1. Soil conservation practices - Gardens  (40°-60°)","2","7.305405","80.670595","2 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250.00 m-1","500,000.00","Labour and other basic services by the Local community","0.25 Years"
,,,"2. Soil conservation practices - Gardens (40°-60°)","1","7.303929","80.672289","8 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250.00 m-1","2,000,000.00","Labour and other basic services by the Local community","0.5 Years"
,,,"3. Soil conservation practices - Gardens (40°-60°)","3","7.300759","80.671636","1 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250.00 m-1","250,000.00","Labour and other basic services by the Local community","0.25 Years"
,,,"4. Soil conservation practices - School land (40°-60°)","1","7.30572","80.679025","0.5 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250.00 m-1","125,000.00","Labour and other basic services by the Local community","0.25 Years"
"Sub Total","2,875,000.00",,,,,,,,,,,
"12","662","Pilawala South","1. Soil conservation practices (40°-50°)","1","7.296179","80.683729","2 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250.00 m-1","500,000.00","Labour and other basic services by the Local community","0.25 Years"
"Sub Total","500,000.00",,,,,,,,,,,
"13","663","Galapita Ambe","No special issues are reported",,,,,,,,,
"14","664","Pallegunnapana North","1. Soil conservation practices - Mr. Kiribanda's land at Meegahakotuwa Waththa (40°-60°)","1","7.3122543","80.655058","0.5 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250.00 m-1","125,000.00","Labour and other basic services by the Local community","0.25 Years"
"Sub Total","125,000.00",,,,,,,,,,,
"15","665","Pallegunnapana South","1. Soil conservation practices -Kandy Model College (40°-60°)","1","7.322325","80.6500000","0.1 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250.00 m-1","25,000.00","Labour and other basic services by the Local community","0.25 Years"
"Sub Total","25,000.00",,,,,,,,,,,
"16","683","Galmaduwa","No special issues are reported",,,,,,,,,
"17","684","Nathtarampotha","No special issues are reported",,,,,,,,,
"18","685","Arangala North","1. Soil conservation practices - Galpotukatiya (40°-60°)","1","7.292813","80.668214","4 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250.00 m-1","1,000,000.00","Labour and other basic services by the Local community","0.25 Years"
"Sub Total","1,000,000.00",,,,,,,,,,,
"19","686","Arangala south","1. Soil conservation practices - Pansalwaththa Village (40°-60°)","1","7.286433","80.667039","4 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250.00 m-1","1,000,000.00","Labour and other basic services by the Local community","0.25 Years"
"Sub Total","1,000,000.00",,,,,,,,,,,
"20","687","Mahawaththa South","1. Soil conservation practices (40°-45°)","3","7.291377","80.674537","2.5 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250.00 m-1","625,000.00","Labour and other basic services by the Local community","0.25 Years"
"Sub Total","625,000.00",,,,,,,,,,,
"21","688","Mahawaththa West","1. Soil conservation practices (40°-45°)","2","7.287739","80.678376","2 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250.00 m-1","500,000.00","Labour and other basic services by the Local community","0.25 Years"
"Sub Total","500,000.00",,,,,,,,,,,
"22","689","Mahawaththa North","1. Soil conservation practices (40°-45°)","3","7.28954","80.685405","4 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250.00 m-1","1,000,000.00","Labour and other basic services by the Local community","0.25 Years"
"Sub Total","1,000,000.00",,,,,,,,,,,
"23","690","Mahawaththa East","1. Soil conservation practices (40°-45°)","1","7.294034","80.683512","2.5 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250.00 m-1","1,000,000.00","Labour and other basic services by the Local community","0.25 Years"
"Sub Total","1,000,000.00",,,,,,,,,,,
"24","691","Kundasale North","1. Soil conservation practices - Warapitiya (40°-45°)","1","7.277522","80.682621","2 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250.00 m-1","500,000.00","Labour and other basic services by the Local community","0.25 Years"
,,,"2. Soil conservation practices - Henwala (40°-45°)","1","7.281829","80.69236","2.5 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250.00 m-1","625,000.00","Labour and other basic services by the Local community","0.25 Years"
"Sub Total","1,125,000.00",,,,,,,,,,,
"25","692","Kundasale South","No special issues are reported",,,,,,,,,
,,,,,,,,"Grand Total",,"22,087,500.00",,
