"Table 5.27: Total Cost Estimate for Stream Reservation Proposals","","","","","","","","","","","","","",""
"No","GN Division No","GN Division","Non point sources of pollution","Coordinates","No  of Toilets","Point sources of pollution","Coordinates 1","Recommended water quality improvement measures","Unit Cost  Rs","Total Cost  Rs","Contributions","Time frame for the implementation","NA","NA  1"
,,,,"N","E",,,"N","E",,,,,
"1","650","Sirimalwaththa East","No special issues reported",,,,,,,,,,,
"2","651","Sirimalwaththa West","Informal disposal of houshold wastes/garbage","7.301114","80.653582",,,,,"Preparing a separate place in homegardens for disposing houshold waste",,"50,000.00","Local/Central governments","0.5 Years"
,,,,,,,,,,"Awareness programme on how to disposal household waste properly and converting them to usable products such as compost",,,,
,,,,,,,,,,"Facilitating garbage collection",,,,
"3","652","Degaldoruwa","Potential to add human waste - Degaldoruwa",,,"2",,,,,,,,
"4","653","Sirimalwaththa Pallegama","No special issues reported",,,,,,,,,,,
"5","654","Karaththamada","Potential to add human waste - Degaldoruwa",,,"1",,,,,,,,
,,,"Informal disposal of houshold wastes/garbage - Atikehellanda, Arangala Canal","7.289467","80.668556",,,,,"Preparing a separate place in homegardens for disposing houshold waste",,"50,000.00","Local/Central governments","0.5 Years"
,,,"Informal disposal of houshold wastes/garbage - The up land, of Nellegala patha Mr balasuriyas' land","7.293378","80.664636",,,,,"Awareness programme on how to disposal household waste properly and converting them to usable products such as compost",,,,
,,,,,,,,,,"Facilitating garbage collection",,,,
"6","655","Levallagama","Potential to add human waste",,,"50",,,,,,,,
"7","656","Amunugama North","Potential to add human waste",,,"10",,,,,,,,
,,,"Informal disposal of houshold wastes/garbage","7.317372","80.67286",,,,,"Preparing a separate place in homegardens for disposing houshold waste",,"50,000.00","Local/Central governments","0.5 Years"
,,,,,,,,,,"Awareness programme on how to disposal household waste properly and converting them to usable products such as compost",,,,
,,,,,,,,,,"Facilitating garbage collection",,,,
"8","657","Amunugama South","No special issues reported",,,,,,,,,,,
"9","658","Hapuwala","No special issues reported",,,,,,,,,,,
"10","659","Deekirimadawala","No special issues reported",,,,,,,,,,,
"11","660","Pilawala North","No special issues reported",,,,,,,,,,,
"12","662","Pilawala South","No special issues reported",,,,,,,,,,,
"13","663","Galapita Ambe","No special issues reported",,,,,,,,,,,
"14","664","Pallegunnapana North","No special issues reported",,,,,,,,,,,
"15","665","Pallegunnapana South","No special issues reported",,,,,,,,,,,
"16","683","Galmaduwa","Potential to add human waste",,,"6",,,,,,,,
,,,"Informal disposal of houshold wastes/garbage","7.284808","80.676315",,,,,"Preparing a separate place in homegardens for disposing houshold waste",,"50,000.00","Local/Central governments","0.5 Years"
,,,,,,,,,,"Awareness programme on how to disposal household waste properly and converting them to usable products such as compost",,,,
,,,,,,,,,,"Facilitating garbage collection",,,,
"17","684","Nathtarampotha","Potential to add human waste",,,"1",,,,,,,,
,,,"Informal disposal of houshold wastes/garbage","7.281949","80.668222",,,,,"Preparing a separate place in homegardens for disposing houshold waste",,"50,000.00","Local/Central governments","0.5 Years"
,,,,,,,,,,"Awareness programme on how to disposal household waste properly and converting them to usable products such as compost",,,,
,,,,,,,,,,"Facilitating garbage collection",,,,
"18","685","Arangala North","No special issues reported",,,,,,,,,,,
"19","686","Arangala south","No special issues reported",,,,,,,,,,,
"20","687","Mahawaththa south","No special issues reported",,,,,,,,,,,
"21","688","Mahawaththa West","No special issues reported",,,,,,,,,,,
"22","689","Mahawaththa North","Potential to add human waste",,,"10",,,,,,,,
,,,"Informal disposal of houshold wastes/garbage","7.292174","80.682808",,,,,"Preparing a separate place in homegardens for disposing houshold waste",,"50,000.00","Local/Central governments","0.5 Years"
,,,,,,,,,,"Awareness programme on how to disposal household waste properly and converting them to usable products such as compost",,,,
,,,,,,,,,,"Facilitating garbage collection",,,,
"23","690","Mahawaththa East","No special issues reported",,,,,,,,,,,
"24","691","Kundasale North","Informal disposal of houshold wastes/garbage","7.274006","80.685748",,,,,"Preparing a separate place in homegardens for disposing houshold waste",,"50,000.00","Local/Central governments","0.5 Years"
,,,,,,,,,,"Awareness programme on how to disposal household waste properly and converting them to usable products such as compost",,,,
,,,,,,,,,,"Facilitating garbage collection",,,,
"25","692","Kundasale South","Informal disposal of houshold wastes/garbage","7.279750","80.715050",,,,,"Preparing a separate place in homegardens for disposing houshold waste",,"50,000.00","Local/Central governments","0.5 Years"
,,,,"7.289751","80.696852",,,,,"Awareness programme on how to disposal household waste properly and converting them to usable products such as compost",,,,
,,,,,,,,,,"Facilitating garbage collection",,,,
"Grand Total","400,000.00",,,,,,,,,,,,,
