"Table 5.36: Log frame for forest management in the mini watershed","","",""
"Family","Species","Endemicity","Status"
"Lauraceae","Actinodaphne speciosa","E","VU"
"Berberidaceae","Berberis ceylanica","E","VU"
"Lauraceae","Cinnamomum ovalifolium","N","VU"
"Poaceae","Davidsea attenuata","EG","VU"
"Celastraceae","Salacia reticulata","E","VU"
"Phyllanthaceae","Phyllanthus emblica","N","VU"
"Lauraceae","Litsea iteodaphne","EG","VU"
"Orchidaceae","Acanthophippium bicolor","N","EN"
"Balsaminaceae","Impatiens henslowiana","N","VU"
