"Table 5.52: Recommended training programs for Livelihood development and marketing","","","","","","",""
"Type","X Items Needed","X GNDs Requested","X Number","Unit Cost  Rs","Total Cost  Rs","Contribution     from line agency","Final cost to LA  GoSL  Rs"
"Paddy","Supply of parachute Trays","For MWS-102","6500","80.00","520,000.00","0.75","390,000.00"
,"Supply of certified seed paddy (bu)","For MWS-102","25","4,200.00","105,000.00","1","105,000.00"
,"Soil testing","For MWS-102","15","290.00","4,350.00","1","4,350.00"
,"Supply of Bio films (1 Liter) Bottles","For MWS-102","20","900.00","18,000.00","1","18,000.00"
,"supply of Cruiser as seed Treatments","For MWS-102","12","900.00","10,800.00","1","10,800.00"
"Supply of Agricultural Machineries and Equipment","Supply of Agri Fence","For MWS-102","100","7,500.00","750,000.00","0.75","562,500.00"
,"Supply of Electri fence","For MWS-102","25","40,000.00","1,000,000.00","0.75","750,000.00"
,"Supply of Water Pumps (Robin)","For MWS-102","8","70,000.00","560,000.00","0.75","420,000.00"
,"Supply of Brush Cutters","For MWS-102","10","30,000.00","300,000.00","0.75","225,000.00"
,"Supply of Knapsac Sprayers  (16L)","For MWS-102","10","30,000.00","300,000.00","0.75","225,000.00"
"Vegetables","Green chili","For MWS-102","55","40/perch’s unit - 50g. 1,500.00","67,500.00","1","67,500.00"
,"Beans","For MWS-102","40","40/perch’s unit - 1500g. 4,500.00","60,000.00","1","60,000.00"
,"Tomato","For MWS-102","60","40/perch’s unit - 10g. 6,000.00","360,000.00","1","360,000.00"
,"Supply of Banana Tissue Culture Seedlings- Amban","For MWS-102","300","130.00","1,800,000.00","1","1,800,000.00"
"Fruits","Supply of Manderin Seedlings","For MWS-102","150","300.00","900,000.00","1","900,000.00"
,"Supply of Trichoderma (1 liter bottles)","For MWS-102","25","1,000.00","150,000.00","1","150,000.00"
"Export Crops","Coffee","For MWS-102","3000","30.00","90,000.00","1","90,000.00"
,"Pepar","For MWS-102","5,500","40.00","220,000.00","1","220,000.00"
,"Areca nut","For MWS-102","500","40.00","20,000.00","1","20,000.00"
"Animal husbadry","No of cows","For MWS-102","10","250,000.00","2,500,000.00","0.5","1,250,000.00"
,"No of chicks","For MWS-102","750","1,500.00","1,125,000.00","0.5","562,500.00"
,"No of sheds - cow","For MWS-102","6","300,000.00","1,800,000.00","0.5","900,000.00"
,"Bee keeping (Box 4000/= bees)","For MWS-102","50","8,000.00","400,000.00","0.75","300,000.00"
"Protected Agriculture","Polytunnel","For MWS-102","6","700,000.00","4,200,000.00","0.5","2,100,000.00"
"Total Cost",,,,,"17,260,650.00",,"11,490,650.00"
