"Table 5.11: Estimate for rehabilitation of “Dambagolla Wewa” in 706 Dambarawa GND","",""
"Item","Work Description","Amount  LKR"
"1","Clearing and preparing the site","10,000"
"2","Benching of tank bund slopes to receive new earth average 150 mm in depth(manual)","203,940"
"3","Stripping topsoil and including cut and lift up to 1.5m and haul 60 m distance by machinery","3,672.90"
"4","Earth excavation for foundation or quarry materials and haul the surplus materials up to 30m. by Machinery. (This rate is excluding of transporting of machinery)","94,794"
"5","Construction of puddle core wall including making puddle (without transport)","2,188,428"
"6","Earth excavation form , cut & lift up to 1.0m , placing, spreading, watering and compacting by machinery including transport by 0.75cu Tractor & Tailor within 30m - 1.0Km -including Forming and Sloping in Tank Bund","995,476.80"
"7","Laying Geotextile on Prepared Surface Supply and Transport to pay Separately","146,493"
"8","Cutting, transporting, planting & watering turf (excluding cost of turf)","132,412.50"
"9","Transporting of earth moving machinery","20,000"
"10","Tidying up","4,782.80"
,"CIVIL COST","3,800,000"
"11","Contingencies 10%","380,000"
,"TOTAL COST","4,180,000"
