"Table 5.12: Estimate for rehabilitation of “Dalpitiya anga Pathaha” in 706 Dambarawa GND","",""
"Item","Work Description","Amount  LKR"
"1","Clearing and preparing the site","5,000"
"2","Benching of tank bund slopes to receive new earth average 150 mm in depth(manual)","25,956"
"3","Stripping topsoil and including cut and lift up to 1.5m and haul 60 m distance by machinery","3,672.90"
"4","Earth excavation form, cut & lift up to 1.0m, placing, spreading, watering and compacting by machinery including transport by 0.75cu Tractor & Tailor within 30m - 1.0Km -including Forming and Sloping in Tank Bund","49,072.80"
"5","Laying Geotextile on Prepared Surface Supply and Transport to pay Separately","15,006.60"
"6","Cutting, transporting, planting & watering turf (excluding cost of turf)","13,107.50"
"7","Transporting of earth moving machinery","20,000"
"8","Tidying up","3,184.20"
,"CIVIL COST","135,000"
"9","Contingencies 10%","13,500"
,"TOTAL COST","148,500"
