"Table 5.15: Cost estimate of water source protection-related proposals","","","","","",""
"GND No","Name of Spring and place","N","E","Observation","Description","Amount  Rs"
"672","Ihalagama Sapugahamadiththa","7.333356","80.705615","About 50 families used for bathing. No water tank has been constructed.","Construction of Concrete water storage tank of 20 cum ‐ size internal t 3mx3mx2.5","742,500"
,,,,,,
"672","Galkotuwa","7.332759","80.703621","About 40 families water used for bathing. Water storage tank has been constructed","Cleaning the tankPlaster 12mm thick in 1:3 cement and sand finished smooth with gray cement floating-TankMiscellaneousContigencies (10%)","38,720"
,,,,,,
,,,,,,
"673","Gasgolla","7.330043","80.709091","A tank is constructed and Drinking water is distributed through a pipeline. Distribution pipeline system is damaged in some places.","Pipeline repairContigencies (10%)","27,500"
,,,,,,
"673","Maharagama medda pihilla","7.324705","80.706182","A tank is constructed and covered with a net and prepared for bathing. About fifty families use it for bathing","Cleaning the tankPlaster 12mm thick in 1:3 cement and sand finished smooth with gray cement floating-TankMiscellaneousContigencies (10%)","38,720"
,,,,,,
,,,,,,
,,,,,,
,,,,,,
"675","Beerigasaswedduma Common Well","7.327535","80.696684","Concrete well has been constructed","Fabricating&fixingsecurityweldmeshinopen typebuildingsinGIweldmesh50mmx50mm SWG10,weldedon40mmx40mmx5mm angleframecompletewithapplicationoftwo coatsenamelpaintovertwocoatsof anticorrosivepaintandcomplete. Allasperdetaildrawing No.CPC/CS/11/04/2017/TYPE‐ST/07MiscellaneousContigencies (10%)","71,500"
,,,,,,
"675","From Ihalamulla to Hethale canal","7.327409","80.696496","An Irrigation canal flows near the houses, Therefore, the waste disposed of from the houses is added to the canal.","Replantingbamboospeciesandvetivergrassorriparianspecies","4,950"
"675","From Bolumuwa anicut to Paldeniya anicut reservation","7.329565","80.699504","Canal belonging to Central Irrigation Department. (Udugoda - Bandara Canal Scheme) Reserves are occupied by farmers.","Replantingbamboospeciesandvetivergrassorriparianspecies","4,950"
"675","Kottalapitiya Uda canal","7.327825","80.700872","An Irrigation canal flows near the houses, Therefore, the waste disposed of from the houses is added to the canal.","Replantingbamboospeciesandvetivergrassorriparianspecies","4,950"
"676","Wellankanda Gomman ela","7.333321","80.711529","A place prepared for bathing,","Construction of Concrete water storage tank of 20 cum ‐ size internal t 3mx3mx2.5","742,500"
,,,,,,
"676","Goraka gahamuls Water Project","7.334505","80.715603","A water storage tank is constructed and water is distributed.","Vegetative cover improving for narrow strips (1.5m‐2.0m wide) with Arecanut seedlings at 1.5m spacing in 2 rows, Betel plants VP at 3m spacing in 1 row, Green gram as a cover crop","52,800"
"676","Wellankanda Common Well - Drinking","7.332223","80.708932","A well from which about 50 families get water for drinking, Water seepage occurs at the ground level of the constructed well.","Plaster 12mm thick in 1:3 cement and sand finished smooth with gray cement floating-Well1:3:6 (40mm) concrete manual mix (volume batching)- For pavementMiscellaneousContigencies (10%)","20,900"
"678","Hunu linda","7.313892","80.700081","A well of 2.4m Ø is Constructed. The wall external and internal plaster damaged in some places. The water is used for bathing.","Well repairContigencies (10%)","16,500"
"678","Yata linda","7.307853","80.688403","A well of 2.0m Ø is Constructed. The well is good condition. The water is dirty. About 15 families have been used in the past and are not being used at present.","Well repairContigencies (10%)","16,500"
"678","Kumbuke linda 1","7.306947","80.689396","A well located in the paddy field used to get water for drinking. Not currently in use.","Well repairContigencies (10%)","16,500"
"678","Kumbuke linda 2","7.311640","80.693482","A well of 1.5m x 1.5m is Constructed. The wall external and internal plaster damaged in some places. The water is used for bathing.","Well repairContigencies (10%)","16,500"
"678","Panahe linda","7.307028","80.68961","A well of 2.0m Ø is Constructed. The well and surroundings are polluted by sewage from nearby houses. Currently not in use.","Well repairContigencies (10%)","16,500"
"678","Eramudugolla linda","7.312493","80.696272","A well located in the paddy field used to get water for Bathing.  The walls of the well have damaged.","Well repairContigencies (10%)","16,500"
"678","Watapuluwa linda","7.308385","80.688666","A well located in the paddy field used to get water for Bathing.  The well is good condition.","Well repairContigencies (10%)","16,500"
"678","Gammedda linda 1","7.31041","80.692166","A well located in the paddy field used to get water for Bathing.  Currently not in use.","Well repairContigencies (10%)","16,500"
"678","Gammedda linda 2","7.310140","80.692871","A well located in the paddy field used to get water for Bathing.  The well is good condition.","Well repairContigencies (10%)","16,500"
"679","Agro Well near Rajjalvita Paddy Field","7.305238","80.697302","A well located near the paddy field used to get water for Bathing and cultivation. The well wall and surrounding basin should be minor repaired.","Cleaning the wellContigencies (10%)","11,000"
"679","Rajjalvita Common Well","7.308544","80.698388","A well located near the paddy field used about 20 families used to water for Bathing. The well is good condition. The well wall and surrounding basin should be minor repaired.","Cleaning the wellContigencies (10%)","11,000"
"679","Well near Rajjalvita pathaha","7.309968","80.699176","A well located near the paddy field used about 15 families used to water for Bathing. The well is good condition. The well wall and surrounding basin should be minor repaired.","Cleaning the wellContigencies (10%)","11,000"
"681","Ganithage linda","7.295786","80.701437","A well located near the paddy field and used to  water for cultivation.  The well is dilapidated condition.","Cleaning the wellPlaster 12mm thick in 1:3 cement and sand finished smooth with gray cement floating-Well wallsMiscellaneousContigencies (10%)","76,120"
,,,,,,
,,,,"Total",,"2,007,610"
