"Table 5.2: Key ON-FARM activties proposed for soil and water conservation in MWS-103-1 belongs to Kundasale DS Division","","","","","","","","","","","",""
"No","GN Division No","GN Division","Key Activities proposed for Soil and Water conservation","Priority based on Soil Erosion Hazard","Coordinates","Quantity","Proposed measure s","Uniti Cost  Rs","Total Cost  Rs","Contribution","Time frame for the implementation","NA"
,,,,,"N","E",,,,,,
"1","661","Bogaskumbura","No special issues are reported",,,,,,,,,
"2","672","Udagama North","1. Soil conservation practices  (40˚- 50˚)","3","7.330607","80.702728","30 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","7,500,000","Labour and other basic services by the Local community","1.5 Years"
"Sub Total","7,500,000",,,,,,,,,,,
"3","673","Udagama south","1. Soil conservation practices  (40˚- 50˚)","1","7.324777","80.704698","25 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","6,250,000","Labour and other basic services by the Local community","1.5 Years"
"Sub Total","6,250,000",,,,,,,,,,,
"4","675","Marathanna west","1. Soil conservation practices - Ihalamullagama (40˚- 50˚)","4","7.327504","80.696675","4 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","400 m-1","1,000,000","Labour and other basic services by the Local community","0.25 Years"
,,,"2. Soil conservation practices - Medagammedda Gama (50˚- 60˚)","3","7.329564","80.699497","2.5 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","625,000","Labour and other basic services by the Local community","0.25 Years"
,,,"3. Soil conservation practices - Gal Edanda (50˚- 60˚)","4","7.329517","80.699437","9 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","2,250,000","Labour and other basic services by the Local community","0.5 Years"
"Sub Total","3,875,000",,,,,,,,,,,
"5","676","Ihala Gonagama","1. Soil conservation practices (50˚- 60˚)","2","7.33084","80.71157","40 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","10,000,000","Labour and other basic services by the Local community","1.5 Years"
"Sub Total","10,000,000",,,,,,,,,,,
"6","677","Hurikaduwa west","1. Soil conservation practices  (50˚- 60˚)","2","7.310535","80.690199","10 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","2,500,000","Labour and other basic services by the Local community","0.5 Years"
"Sub Total","2,500,000",,,,,,,,,,,
"7","678","Hurikaduwa North","1. Soil conservation practices  (10˚- 20˚)","4","7.30587","80.688574","5 ha","Lock and spills stone terracing/Live fencing/SALT, as applied","400 m-1","2,000,000","Labour and other basic services by the Local community","0.25 Years"
"Sub Total","2,000,000",,,,,,,,,,,
"8","679","Hurikaduwa south","1. Soil conservation practices (10˚- 20˚)","1","7.308138","80.699979","10 ha","Lock and spills stone terracing/Live fencing/SALT, as applied","400 m-1","4,000,000","Labour and other basic services by the Local community","0.5 Years"
"Sub Total","4,000,000.00",,,,,,,,,,,
"9","680","Hurikaduwa East","No special issues are reported",,,,,,,,,
"10","681","Nithule thanna","1. Soil conservation practices - Pallekele Village (10˚- 20˚)","2","7.295649","80.700859","10 ha","Lock and spills stone terracing/Live fencing/SALT, as applied","400 m-1","4,000,000","Labour and other basic services by the Local community","0.5 Years"
,,,"2. Soil conservation practices - Udalumada (10˚- 20˚)","2","7.283601","80.704862","4 ha","Lock and spills stone terracing/Live fencing/SALT, as applied","400 m-1","1,600,000","Labour and other basic services by the Local community","0.25 Years"
"Sub Total","5,600,000.00",,,,,,,,,,,
"11","682","Dodamgolla","1. Soil conservation practices (20˚- 30˚)","1","7.29902","80.701633","10 ha","Lock and spills stone terracing/Live fencing/SALT, as applied","400 m-1","4,000,000","Labour and other basic services by the Local community","0.5 Years"
"Sub Total","4,000,000.00",,,,,,,,,,,
"12","692","Kundasale South","No special issues are reported",,,,,,,,,
"13","706","Dambarawa","1. Soil conservation practices (20˚- 30˚)","1","7.298752","80.693341","10 ha","Lock and spills stone terracing/Live fencing/SALT, as applied","400 m-1","4,000,000","Labour and other basic services by the Local community","0.5 Years"
"Sub Total","4,000,000.00",,,,,,,,,,,
"14","707","Hathamuna","No special issues are reported",,,,,,,,,
"15","708","Delgaslanda","1. Soil conservation practices  (30˚- 40˚)","2","7.328632","80.717488","2 ha","Lock and spills stone terracing/Live fencing/SALT, as applied","400 m-1","800,000","Labour and other basic services by the Local community","0.25 Years"
"Sub Total","800,000.00",,,,,,,,,,,
,,,,,,,,"Grand Total",,"50,525,000",,
