"Table 5.20: Details related to water pollution in MWS-103-1 belongs to Kundasale DS Division","","","","","","","","","","","","",""
"No","GN Division No","GN Division","Non point sources of pollution","Coordinates","Point sources of pollution","Coordinates 1","Recommended water quality improvement measures","Unit Cost  Rs","Total Cost  Rs","Contribution","Time frame for the implementation","NA","NA  1"
,,,,"N","E",,"N","E",,,,,
"1","661","Bogaskumbura","No special issues reported",,,,,,,,,,
"2","672","Udagama North","No special issues reported",,,,,,,,,,
"3","673","Udagama south","No special issues reported",,,,,,,,,,
"4","675","Marathanna west","No special issues reported",,,,,,,,,,
"5","676","Ihala Gonagama","No special issues reported",,,,,,,,,,
"6","677","Hurikaduwa west","No special issues reported",,,,,,,,,,
"7","678","Hurikaduwa North","No special issues reported",,,,,,,,,,
"8","679","Hurikaduwa South","Informal disposal of household wastes/garbage",,,,,,"Preparing a separate place in home gardens for disposing household waste",,"50,000.00","Local/Central governments","0.5 Years"
,,,,,,,,,"Awareness program on how to dispose of household waste properly and convert them to usable products such as compost",,,,
,,,,,,,,,"Facilitating garbage collection",,,,
"9","680","Hurikaduwa East","No special issues reported",,,,,,,,,,
"10","681","Nithulethanna","No special issues reported",,,,,,,,,,
"11","682","Dodamgolla","No special issues reported",,,,,,,,,,
"12","692","Kundasale South","No special issues reported",,,,,,,,,,
"13","706","Dambarawa","No special issues reported",,,,,,,,,,
"14","707","Hathamuna","No special issues reported",,,,,,,,,,
"15","708","Delgaslanda","No special issues reported",,,,,,,,,,
"Grand Total","50,000.00",,,,,,,,,,,,
