"Table 5.22: Total Cost Estimate for Stream Reservation Proposals","","","","","",""
"GND No","Name of the water source","N","E","Observation","Description","Amount  Rs"
"672","Galkototuwa Stream","7.332816","80.703574","During the rainy season when too much water flows, Bank erosion occurs","Arrange stone packing- Rubble packing Vegetative cover improving around structures (5m x 10m) with Areca nut seedling in 1.5m x 1.5m grid, Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlings and planting at 3.5m x 3.5 m grid intervalReplantingbamboospeciesandvetivergrassorriparianspeciesMiscellaneousContingencies (10%)","58,410"
,,,,,,
"672","Galkotuwa Rathmaloya Canal","7.331277","80.703089","During the rainy season when too much water flows, Bank erosion occurs","Arrange stone packing- Rubble packing Vegetative cover improving around structures (5m x 10m) with Areca nut seedling in 1.5m x 1.5m grid, Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlings and planting at 3.5m x 3.5 m grid intervalReplantingbamboospeciesandvetivergrassorriparianspeciesMiscellaneousContingencies (10%)","58,410"
,,,,,,
"673","Rathmaloya Canal","7.325285","80.705229","During the rainy season when too much water flows, Bank erosion occurs","Arrange stone packing- Rubble packing Vegetative cover improving around structures (5m x 10m) with Areca nut seedling in 1.5m x 1.5m grid, Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlings and planting at 3.5m x 3.5 m grid intervalReplantingbamboospeciesandvetivergrassorriparianspeciesContingencies (10%)","80,630"
,,,,,,
"673","Ieriyagolla Canal","7.327375","80.712118","During the rainy season when too much water flows, Bank erosion occurs","Arrange stone packing- Rubble packing Vegetative cover improving around structures (5m x 10m) with Areca nut seedling in 1.5m x 1.5m grid, Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlings and planting at 3.5m x 3.5 m grid intervalReplantingbamboospeciesandvetivergrassorriparianspeciesContingencies (10%)","80,630"
,,,,,,
"673","Galpihilla Kandura","7.319332","80.703942","During the rainy season when too much water flows, Bank erosion occurs","Arrange stone packing- Rubble packing Vegetative cover improving around structures (5m x 10m) with Areca nut seedling in 1.5m x 1.5m grid, Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlings and planting at 3.5m x 3.5 m grid intervalReplantingbamboospeciesandvetivergrassorriparianspeciesContingencies (10%)","80,630"
,,,,,,
"673","Heepitiya Janapadaya Stream","7.326592","80.711269","During the rainy season when too much water flows, Bank erosion occurs","Arrange stone packing- Rubble packing Vegetative cover improving around structures (5m x 10m) with Areca nut seedling in 1.5m x 1.5m grid, Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlings and planting at 3.5m x 3.5 m grid intervalReplantingbamboospeciesandvetivergrassorriparianspeciesContingencies (10%)","98,670"
,,,,,,
"673","Galbokka Canal","7.325427","80.712670","During the rainy season when too much water flows, Bank erosion occurs","Arrange stone packing- Rubble packing Vegetative cover improving around structures (5m x 10m) with Areca nut seedling in 1.5m x 1.5m grid, Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlings and planting at 3.5m x 3.5 m grid intervalReplantingbamboospeciesandvetivergrassorriparianspeciesContingencies (10%)","94,435"
"676","Gomman Ela Stream","7.329962","80.709208","During the rainy season when too much water flows, Bank erosion occurs","Arrange stone packing- Rubble packing Vegetative cover improving around structures (5m x 10m) with Areca nut seedling in 1.5m x 1.5m grid, Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlings and planting at 3.5m x 3.5 m grid intervalReplantingbamboospeciesandvetivergrassorriparianspeciesContingencies (10%)","76,285"
,,,,,,
"681","Rathmale oya","7.291502","80.700496","During the rainy season when too much water flows, Bank erosion occurs","Arrange stone packing- Rubble packing Vegetative cover improving around structures (5m x 10m) with Areca nut seedling in 1.5m x 1.5m grid, Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlings and planting at 3.5m x 3.5 m grid intervalReplantingbamboospeciesandvetivergrassorriparianspeciesContingencies (10%)","139,260"
,,,,,,
"706","Rathmal Oya","7.298961","80.696372","During the rainy season when too much water flows, Bank erosion occurs","Arrange stone packing- Rubble packing Vegetative cover improving around structures (5m x 10m) with Areca nut seedling in 1.5m x 1.5m grid, Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlings and planting at 3.5m x 3.5 m grid intervalReplantingbamboospeciesandvetivergrassorriparianspeciesContingencies (10%)","107,745"
,,,,"Total",,"875,105"
