"Table 5.46: Cost estimation of livelihood development activities","","","","","","",""
"Type","Items Needed","GNDs Requested","Number","Unit Cost  Rs","Total Cost  Rs","Contribution     from line agency","Final cost to LA  GoSL  Rs"
"Paddy","Supply of parachute Trays","For MWS-103 -1","1,500.00","80.00","120,000","0.75","90,000"
,"Supply of certified seed paddy (bu)","For MWS-103 -1","10.00","4,200.00","42,000","1","42,000"
,"Soil testing","For MWS-103 -1","8.00","290.00","2,320","1","2,320"
,"Supply of Bio films (1 Liter) Bottles","For MWS-103 -1","10.00","900.00","9,000","1","9,000"
,"supply of Cruiser as seed Treatments","For MWS-103 -1","7.00","900.00","6,300","1","6,300"
"Supply of Agricultural Machineries and Equipment","Supply of Agri Fence","For MWS-103 -1","45.00","7,500.00","337,500","0.75","253,125"
,"Supply of Electric fence","For MWS-103 -1","15.00","40,000.00","600,000","0.75","450,000"
,"Supply of Water Pumps (Robin)","For MWS-103 -1","5.00","70,000.00","350,000","0.75","262,500"
,"Supply of Brush Cutters","For MWS-103 -1","10.00","30,000.00","300,000","0.75","225,000"
,"Supply of Knapsack Sprayers (16L)","For MWS-103 -1","10.00","30,000.00","300,000","0.75","225,000"
"Vegetables","Green chili","For MWS-103 -1","25.00","40/perch’s unit - 50g. 1,500.00","67,500","1","67,500"
,"Beans","For MWS-103 -1","20.00","40/perch’s unit - 1500g. 4,500.00","30,000","1","30,000"
,"Tomato","For MWS-103 -1","30.00","40/perch’s unit - 10g. 6,000.00","180,000","1","180,000"
,"Supply of Banana Tissue Culture Seedlings- Amban","For MWS-103 -1","200.00","130.00","1,200,000","1","1,200,000"
"Fruits","Supply of Manderin Seedlings","For MWS-103 -1","60.00","300.00","360,000","1","360,000"
,"Supply of Trichoderma (1-liter bottles)","For MWS-103 -1","12.00","1,000.00","72,000","1","72,000"
"Export Crops","Coffee","For MWS-103 -1","1,800.00","30.00","54,000","1","54,000"
,"Paper","For MWS-103 -1","2,300.00","40.00","92,000","1","92,000"
,"Areca nut","For MWS-103 -1","225.00","40.00","9,000","1","9,000"
"Animal husbandry","No of cows","For MWS-103 -1","6.00","250,000.00","1,500,000","0.5","750,000"
,"No of chicks","For MWS-103 -1","300.00","1,500.00","450,000","0.5","225,000"
,"No of sheds - cow","For MWS-103 -1","2.00","300,000.00","600,000","0.5","300,000"
,"Bee keeping (Box 4000/= bees)","For MWS-103 -1","28.00","8,000.00","224,000","0.75","168,000"
"Protected Agriculture","Polytonal","For MWS-103 -1","2.00","700,000.00","1,400,000","0.5","700,000"
"Total Cost",,,,,"8,305,620",,"5,772,745"
