"Table 5.6: Estimate for rehabilitation of “Beerigasaswedduma Pathaha” in 675 Maratenna West GND","",""
"Item","Work Description","Amount  LKR"
"1","Construction of tank bund",
"1.1","Clearing & preparing the site","10,000"
"1.2","Stripping topsoil and including cut and lift up to 1.5m and haul 60 m distance by machinery","2,661.12"
"1.3","Earth excavation for foundation or quarry materials and haul the surplus materials up to 30m. by Machinery. (This rate is excluding of transporting of machinery)","11,529"
"1.4","Construction of puddle core wall including making puddle (without transport)","198,827.64"
"1.5","Earth excavation form, cut & lift up to 1.0m, placing, spreading, watering and compacting by machinery including transport by 0.75cu Tractor & Tailor within 30m - 1.0Km -including Forming and Sloping in Tank Bund","115,872.77"
"1.6","Gravel excavation for Canal or Tank and haul the surplus materials up to 1.6 km distance by Machinery. (This rate is excluding of transporting of machinery)","1,221.12"
"1.7","Forming tank bund machinery (This rate is excluding of transporting of machinery)","463.68"
"1.8","Cutting, transporting, planting & watering turf (excluding cost of turf)","8,827.50"
"1.9","Water Pump 2\" dia ( Without operator)","45,750"
"1.10","Laying Geotextile on Prepared Surface Supply and Transport to pay Separately","10,147.32"
"1.11","Tidying up","4,699.85"
,"SUB TOTAL","410,000"
"2","Construction of Spill","150,000"
"3","Wet Silt removing from Canal or Tank beds and haul the surplus materials up to 1.6 km distance by machinery. (This rate is excluding of transporting of machinery)","4,806"
"4","Vegetative cover improving around structures (5m x 10m) with planting Arecanut seedling in 1.5m x 1.5m grid, and planting Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlings in 3.5m x 3.5 m grid","3,300"
"5","Transporting of earth moving machinery","20,000"
"6","Miscellaneous","1,894"
,"CIVIL COST","590,000"
"7","Contingencies 10%","59,000"
,"TOTAL COST","649,000"
