"Table 5.9: Estimate for rehabilitation of “Thiththawelpathana Pathaha” in 679 Hurukaduwa South GND","",""
"Item","Work Description","Amount  LKR"
"1","Wet Silt removing from Canal or Tank beds and haul the surplus materials up to 1.6 km distance by machinery. (This rate is excluding of transporting of machinery)","48,060"
"2","Rehabilitating tank bund","25,000"
"3","Construction of Toe Wall",
"4","Earth excavation for foundation or quarry materials and haul the surplus materials up to 30m by Manually.","7,529.76"
"5","Plywood form work including making, fixing & removing for concrete canals at ground level -05 uses","17,016"
"6","1:3:6 (40mm) concrete with concrete mixer (volume batching)","45,094.14"
"7","Construction of 1.2m x 0.9m sluice gate with lifting arrangement","200,000"
"8","Transporting of earth moving machinery","20,000"
"9","Miscellaneous","2,300.10"
,"CIVIL COST","365,000"
"10","Contingencies 10%","36,500"
,"TOTAL COST","401,500"
