"Table 2.6: Age group categorization of the population of MWS-104 (GN-wise)","","","",""
"GND No","GND Name","X0 5 years","X6 14 years","X15 18 years"
"698","Balagolla East","325","1019","869"
"704","Hurikaduwa Madige","81","175","92"
"674","Maharathenna East","51","144","69"
"710","Deliwalathenna","68","103","68"
"692","Kundasale South*","467","1015","193"
"702","Aswalapitiya","100","154","126"
"713","Galamuna","70","162","98"
"712","Malpana","120","254","103"
"699","Balagolla West","13","97","145"
"700","Kengalla","180","255","93"
"701","Ihalawela","191","299","375"
"705","Menikhinna","180","296","187"
"711","Heepitiya","136","196","137"
"709","Lunuketiyamaditta","80","121","122"
,"Total","2062","4290","2677"
