"Table 5.10: Estimate for rehabilitation of “Ankandura Pathaha” in 702 Aswalapitiya GND","",""
"Item","Work Description","Amount  LKR"
"1","Rehabilitation of tank bund",
"1.1","Site clearing and preparation","10,000"
"1.2","Stripping topsoil and including cut and lift up to 1.5m and haul 60 m distance by machinery","6,596.44"
"1.3","Earth excavation form , cut & lift up to 1.0m , placing, spreading, watering and compacting by machinery including transport by 0.75cu Tractor & Tailor within 30m - 1.0Km -including Forming and Sloping in Tank Bund","68,336.16"
"1.4","Cutting, transporting, planting & watering turf (excluding cost of turf)","22,095.50"
"1.5","Gravel excavation for Canal or Tank and haul the surplus materials up to 1.6 km distance by Machinery. (This rate is excluding of transporting of machinery)","3,001.92"
"1.6","Forming tank bund machinery (This rate is excluding of transporting of machinery)","1,139.88"
"1.7","Miscellaneous","3,830.10"
,"SUB TOTAL","115,000"
"3","Construction of head wall type sluice",
"3.1","For earthworks & concrete works","100,000"
"3.2","Supplying of 225mm Dia x 2.44m long Hume Pipes","53,280"
"3.3","Loading and Unloading 225mm diameter 2.44m Long HumePipes","756"
"3.4","Laying & Jointing 225 mm Dia. Available Concrete Pipes and Collars (Cement, sand & water for jointing hume pipes paid Separately)","13,500"
"3.5","Supply & install of 225 mm CI gate complete set including Spindle, Housing, Base plate, Closing plate, Key, Brass nut, and other required accessories. (This rate is excluding of transport of materials)","95,880"
"3.6","Miscellaneous","1,584"
,"SUB TOTAL","265,000"
"4","Wet Silt removing from Canal or Tank beds and haul the surplus materials up to 1.6 km distance by machinery.(This rate is excluding of transporting of machinery)","19,224"
"5","Transporting of earth moving machinery","20,000"
"6","Miscellaneous","776"
,"CIVIL COST","420,000"
"7","Contingencies 10%","42,000"
,"TOTAL COST","462,000"
