"Table 5.11: Estimate for rehabilitation of “Aswedduma Pathaha” in 704 Hurikaduwa Madige GND","",""
"Item","Work Description","Amount  LKR"
"1","Rehabilitation of tank bund",
"1.1","Site clearing and preparation","10,000"
"1.2","Stripping topsoil and including cut and lift up to 1.5m and haul 60 m distance by machinery","6,327.55"
"1.3","Earth excavation form , cut & lift up to 1.0m , placing, spreading, watering and compacting by machinery including transport by 0.75cu Tractor & Tailor within 30m - 1.0Km -including Forming and Sloping in Tank Bund","66,324.48"
"1.4","Cutting, transporting, planting & watering turf (excluding cost of turf)","21,186"
"1.5","Gravel excavation for Canal or Tank and haul the surplus materials up to 1.6 km distance by Machinery. (This rate is excluding of transporting of machinery)","3,256.32"
"1.6","Forming tank bund machinery (This rate is excluding of transporting of machinery)","1,236.48"
"1.7","Miscellaneous","1,669.17"
,"SUB TOTAL","110,000"
"2","Construction of head wall type sluice",
"2.1","For earthworks & concrete works","100,000"
"2.2","Supplying of 225mm Dia x 2.44m long Hume Pipes","53,280"
"2.3","Loading and Unloading 225mm diameter 2.44m Long HumePipes","756"
"2.4","Laying & Jointing 225 mm Dia. Available Concrete Pipes and Collars (Cement, sand & water for jointing hume pipes paid Separately)","12,150"
"2.5","Supply & install of 225 mm CI gate complete set including Spindle, Housing, Base plate, Closing plate, Key, Brass nut, and other required accessories. (This rate is excluding of transport of materials)","95,880"
"2.6","Miscellaneous","2,934"
,"SUB TOTAL","265,000"
"3","Wet Silt removing from Canal or Tank beds and haul the surplus materials up to 1.6 km distance by machinery.(This rate is excluding of transporting of machinery)","48,060"
"4","Transporting of earth moving machinery","20,000"
"5","Canal reservation protection by concrete lining  For  100mm thick , 0.3m  wide  and 0.3m high canal -double banking","635,000"
"6","Stream / canal  reservation protection by earthfilling of  strip   of 1.5m to 2m wide  and average Depth of 0.5m","78,000"
"7","Vegetative cover improving for narrow strips (1.5m-2.0m wide) with Arecanut seedlings at 1.5m spacing in 2 rows, Betel plants VP at 3m spacing in 1 row, Green gram as a cover crop","48,000"
"8","Miscellaneous","940"
,"CIVIL COST","1,205,000"
"9","Contingencies 10%","120,500"
,"TOTAL COST","1,325,500"
