"Table 5.12: Estimate for rehabilitation of “Thalakotuwa Pathaha” in 705 Menikhinna GND","",""
"Item","Work Description","Amount  LKR"
"1","Site clearing and preparation","20,000"
"2","Construction of tank bund",
"2.1","Setting-out","6,000"
"2.2","Stripping topsoil and including cut and lift up to 1.5m and haul 60 m distance by machinery","2,670.36"
"2.3","Earth excavation for foundation or quarry materials and haul the surplus materials up to 30m. by Machinery. (This rate is excluding of transporting of machinery)","16,301.64"
"2.4","Construction of puddle core wall including making puddle (without transport)","259,496.16"
"2.5","Earth excavation form , cut & lift up to 1.0m , placing, spreading, watering and compacting by machinery including transport by 0.75cu Tractor & Tailor within 30m - 1.0Km -including Forming and Sloping in Tank Bund","100,419.41"
"2.6","Cutting, transporting, planting & watering turf (excluding cost of turf)","8,185.50"
"2.7","Gravel excavation for Canal or Tank and haul the surplus materials up to 1.6 km distance by Machinery. (This rate is excluding of transporting of machinery)","2,162.40"
"2.8","Forming tank bund machinery (This rate is excluding of transporting of machinery)","821.10"
"2.9","Laying Geotextile on Prepared Surface Supply and Transport to pay Separately","9,313.62"
"2.10","Transporting of earth moving machinery","20,000"
"2.11","Miscellaneous","4,629.81"
,"CIVIL COST","450,000"
"3","Contingencies 10%","45,000"
,"TOTAL COST","495,000"
