"Table 5.13: Estimate for rehabilitation of “Udakumbura Pathaha” in 705 Menikhinna GND","",""
"Item","Work Description","Amount  LKR"
"1","Rehabilitation of tank bund",
"1.1","Site clearing and preparation","10,000"
"1.2","Stripping topsoil and including cut and lift up to 1.5m and haul 60 m distance by machinery","2,194.50"
"1.3","Earth excavation form , cut & lift up to 1.0m , placing, spreading, watering and compacting by machinery including transport by 0.75cu Tractor & Tailor within 30m - 1.0Km -including Forming and Sloping in Tank Bund","24,207.22"
"1.4","Cutting, transporting, planting & watering turf (excluding cost of turf)","7,877.88"
"1.5","Gravel excavation for Canal or Tank and haul the surplus materials up to 1.6 km distance by Machinery. (This rate is excluding of transporting of machinery)","1,256.74"
"1.6","Forming tank bund machinery (This rate is excluding of transporting of machinery)","477.20"
"1.7","Transporting of earth moving machinery","20,000"
"1.8","Miscellaneous","3,986.47"
,"SUB TOTAL","70,000"
"2","Reconstruction of H/W type sluice with lifting arrangement",
"2.1","Supplying 600mm Dia x 2.44m long Hume Pipes","104,040"
"2.2","Loading and Unloading 600mm diameter 2.44m Long HumePipes","2,440.80"
"2.3","Laying & Jointing 600 mm Dia. Available Concrete Pipes and Collars (Cement, sand & water for jointing hume pipes paid Separately)","16,655.40"
"3.3","Supply & install of 600 mm CI gate complete set including Spindle, Housing, Base plate, Closing plate, Key, Brass nut, and other required accessories. (This rate is excluding of transport of materials)","253,200"
"2.4","Earthworks & Concrete works","100,000"
,"Miscellaneous","3,663.80"
,"SUB TOTAL","480,000"
,"CIVIL COST","550,000"
,"Contingencies 10%","55,000"
,"TOTAL COST","605,000"
