"Table 5.18: Cost estimate of minor irrigation related proposals with locations","","","","","",""
"GND No","Name of the Irrigation System","N","E","Observation","Description","Amount  Rs"
"674","Maharawela watagoda Canal","7.322194","80.700382","Most of the canal is concreted. A 20.0m long section of the existing concrete canal has collapsed. A 60.0m long section should be newly concreted. At the end of the canal, 20.0m long, 900mm high sidewall should be constructed on the field side. Command area 13.0 acres,","Canal reservation protection by concrete lining  For  100mm thick , 0.3m  wide  and 0.3m high canal -double bankingConstruction of 1.0m high 1:3:6 (40mm) cement concrete Retaining Wall Stream / canal  reservation protection by earthfilling of  strip   of 1.5m to 2m wide  and average Depth of 0.5mVegetative cover improving for narrow strips (1.5m-2.0m wide) with Arecanut seedlings at 1.5m spacing in 2 rows, Betel plants VP at 3m spacing in 1 row, Green gram as a cover cropMiscellaneousContingenciess (10%)","1,017,500"
,,,,,,
"674","Mahara Canal","7.323078","80.701007","The canal is fully concreted. A 110.0m long section of the existing concrete canal has collapsed. Command area 13.0 acres,","Canal reservation protection by concrete lining  For  100mm thick , 0.3m  wide  and 0.3m high canal -double bankingStream / canal  reservation protection by earthfilling of  strip   of 1.5m to 2m wide  and average Depth of 0.5mVegetative cover improving for narrow strips (1.5m-2.0m wide) with Arecanut seedlings at 1.5m spacing in 2 rows, Betel plants VP at 3m spacing in 1 row, Green gram as a cover cropMiscellaneousContingencies (10%)","786,500"
,,,,,,
,,,,,,
"674","Kurundupotha pita ela Canal","7.318949","80.702934","Removal of 600mm diameter pipe culvert used to cross the road in the canal, raised by 300mm and rebuilt using existing pipes. Command area 14.0 acres,","Raising the culvert pipesDemolish existing culvert headwallsRaising the pipes by 300mm using grade 15 concrete layer, aligning & joiningConstruction of 1.0m high 1:3:6 (40mm) cement concrete Retaining Wall Spreading , Leveling and Compacting Manually Using Standard Cast Iron Stamper or Equivalent and Filling in 150-225 mm Thick Layers (Loose Volume)Tidying upConstruction of 1.0m high 1:3:6 (40mm) cement concrete Retaining Wall Contingencies (10%)","858,000"
,,,,,,
"700","Dodamgolla canal","7.291553","80.708431","The first section of the canal is 450mm wide and 450mm high rectangular concrete lining has been constructed.  From end of the existing con. lining, there is a 600m long earthen canal. Command area 18.0 acres,","Canal reservation protection by concrete lining  For  100mm thick , 0.3m  wide  and 0.3m high canal -double bankingStream / canal  reservation protection by earthfilling of  strip   of 1.5m to 2m wide  and average Depth of 0.5mVegetative cover improving for narrow strips (1.5m-2.0m wide) with Arecanut seedlings at 1.5m spacing in 2 rows, Betel plants VP at 3m spacing in 1 row, Green gram as a cover cropMiscellaneousContingencies (10%)","1,677,500"
"700","Yahampatha anicut and canal","7.296135","80.709261","About 800m long earthen canal. Command area 7.0 acres,","Canal reservation protection by concrete lining  For  100mm thick , 0.3m  wide  and 0.3m high canal -double bankingStream / canal  reservation protection by earthfilling of  strip   of 1.5m to 2m wide  and average Depth of 0.5mVegetative cover improving for narrow strips (1.5m-2.0m wide) with Arecanut seedlings at 1.5m spacing in 2 rows, Betel plants VP at 3m spacing in 1 row, Green gram as a cover cropMiscellaneousContingencies (10%)","660,000"
,,,,,,
"700","Girambe canal","7.292242","80.709496","About 600m long earthen canal. Command area 9.0 acres,","Canal reservation protection by concrete lining  For  100mm thick , 0.3m  wide  and 0.3m high canal -double bankingStream / canal  reservation protection by earthfilling of  strip   of 1.5m to 2m wide  and average Depth of 0.5mVegetative cover improving for narrow strips (1.5m-2.0m wide) with Arecanut seedlings at 1.5m spacing in 2 rows, Betel plants VP at 3m spacing in 1 row, Green gram as a cover cropMiscellaneousContingencies (10%)","907,500"
"700","Thunpelawela Lower section","7.301723","80.713264","About 3 acres in the lower part of the Thunpelawela are currently being cultivated using another water sourse. There is a 350m long earthen canal.","Canal reservation protection by concrete lining  For  100mm thick , 0.3m  wide  and 0.3m high canal -double bankingStream / canal  reservation protection by earthfilling of  strip   of 1.5m to 2m wide  and average Depth of 0.5mVegetative cover improving for narrow strips (1.5m-2.0m wide) with Arecanut seedlings at 1.5m spacing in 2 rows, Betel plants VP at 3m spacing in 1 row, Green gram as a cover cropMiscellaneousContingencies (10%)","352,000"
"700","Nakathkumbura Canal","7.303661","80.714245","A 500m long earthen canal. Command area 9.0 acres,","Canal reservation protection by concrete lining  For  100mm thick , 0.3m  wide  and 0.3m high canal -double bankingStream / canal  reservation protection by earthfilling of  strip   of 1.5m to 2m wide  and average Depth of 0.5mVegetative cover improving for narrow strips (1.5m-2.0m wide) with Arecanut seedlings at 1.5m spacing in 2 rows, Betel plants VP at 3m spacing in 1 row, Green gram as a cover cropMiscellaneousContingencies (10%)","907,500"
,,,,,,
