"Table 5.21: Details related to water pollution in MWS-104 belongs to Kundasale DS Division","","","","","","","","","","","","","",""
"No  A2 O7A2 O22","GN Division No","GN Division","Non point sources of pollution","Coordinates","No  of Toilets","Point sources of pollution","Coordinates 1","Recommended water quality improvement measures","Unit Cost  Rs","Total Cost  Rs","Contribution","Time frame for the implementation","NA","NA  1"
,,,,"N","E",,,"N","E",,,,,
"1","674","Maharathanna East","Potential to add human waste - Pahalawaththa",,,"1",,,,,,,,
,,,"Potential to add human waste - Watagoda",,,"2",,,,,,,,
,,,"Informal disposal of houshold wastes/garbage",,,,,,,"Preparing a separate place in homegardens for disposing houshold waste",,"50,000","Local/Central governments","0.5 Years"
,,,,,,,,,,"Awareness programme on how to disposal household waste properly and converting them to usable products such as compost",,,,
,,,,,,,,,,"Facilitating garbage collection",,,,
"2","692","Kundasale South","No special issues reported",,,,,,,,,,,
"3","698","Balagolla East","Informal disposal of houshold wastes/garbage",,,,,,,"Preparing a separate place in homegardens for disposing houshold waste",,"50,000","Local/Central governments","0.5 Years"
,,,,,,,,,,"Awareness programme on how to disposal household waste properly and converting them to usable products such as compost",,,,
,,,,,,,,,,"Facilitating garbage collection",,,,
"4","699","Balagolla West","Informal disposal of houshold wastes/garbage",,,,,,,"Preparing a separate place in homegardens for disposing houshold waste",,"50,000","Local/Central governments","0.5 Years"
,,,,,,,,,,"Awareness programme on how to disposal household waste properly and converting them to usable products such as compost",,,,
,,,,,,,,,,"Facilitating garbage collection",,,,
"5","700","Kengalla","Potential to add human waste - Thanankumburagama",,,"1",,,,,,,,
"6","701","Ihalawela","Informal disposal of houshold wastes/garbage",,,,,,,"Preparing a separate place in homegardens for disposing houshold waste",,"50,000","Local/Central governments","0.5 Years"
,,,,,,,,,,"Awareness programme on how to disposal household waste properly and converting them to usable products such as compost",,,,
,,,,,,,,,,"Facilitating garbage collection",,,,
"7","702","Aswalapitiya","No special issues reported",,,,,,,,,,,
"8","704","Hurikaduwa Madige","Informal disposal of houshold wastes/garbage",,,,,,,"Preparing a separate place in homegardens for disposing houshold waste",,"50,000","Local/Central governments","0.5 Years"
,,,,,,,,,,"Awareness programme on how to disposal household waste properly and converting them to usable products such as compost",,,,
,,,,,,,,,,"Facilitating garbage collection",,,,
"9","705","Menikhinna","No special issues reported",,,,,,,,,,,
"10","709","Lunuketiyamadiththa","Potential to add human waste",,,"1",,,,,,,,
"11","710","Daliiwalathanna","No special issues reported",,,,,,,,,,,
"12","711","Heepitiya","No special issues reported",,,,,,,,,,,
"13","712","Malpana","No special issues reported",,,,,,,,,,,
"14","713","Galamuna","Informal disposal of houshold wastes/garbage",,,,,,,"Preparing a separate place in homegardens for disposing houshold waste",,"50,000","Local/Central governments","0.5 Years"
,,,,,,,,,,"Awareness programme on how to disposal household waste properly and converting them to usable products such as compost",,,,
,,,,,,,,,,"Facilitating garbage collection",,,,
"Grand Total","300,000",,,,,,,,,,,,,
