"Table 5.3:  Key OFF-FARM activties proposed for soil and water conservation in MWS-104 belongs to Kundasale DS Division","","","","","","","","","","",""
"No  A2 L1A2 L11","GN Division No","GN Division","Key Activities proposed for Soil and Water conservation","Priority based on Soil Erosion Hazard","Coordinates","Quantity","Proposed measure s","Total Cost  Rs","Contribution","Time frame for the implementation","NA"
,,,,,"N","E",,,,,
"1","674","Maharathanna East","No special issues are reported",,,,,,,,
"2","692","Kundasale South","No special issues are reported",,,,,,,,
"3","698","Balagolla East","No special issues are reported",,,,,,,,
"4","699","Balagolla West","No special issues are reported",,,,,,,,
"5","700","Kengalla","No special issues are reported",,,,,,,,
"6","701","Ihalawela","No special issues are reported",,,,,,,,
"7","702","Aswalapitiya","No special issues are reported",,,,,,,,
"8","704","Hurikaduwa Madige","1. Constructing a drain - Hurekaduwa Road (infront of the \"Sevapiyasa\")","1","7.299351","80.710288","350 m","Concrete Drain","21,059,500","By the project","0.25 Years"
"Sub Total","21,059,500",,,,,,,,,,
"9","705","Menikhinna","1. Construction of retaining wall - Seva Piyasa","2","7.313791","80.704407","13 m x 3 m","Retaing Wall (Concrete)","1,518,000","By the project","0.25 Years"
,,,"2. Construction of retaining wall - Near the Manthara Boutique","1","7.314965","80.702374","75 m x 2 m","Retaing Wall (Masonary)","3,300,000","By the project","0.25 Years"
,,,"3. Construction of drain - Agrarian Development Center","3","7.313859","80.7048","100 m","Concrete Drain","6,017,000","By the project","0.25 Years"
"Sub Total","10,835,000",,,,,,,,,,
"10","709","Lunuketiyamadiththa","No special issues are reported",,,,,,,,
"11","710","Daliiwalathanna","No special issues are reported",,,,,,,,
"12","711","Heepitiya","No special issues are reported",,,,,,,,
"13","712","Malpana","No special issues are reported",,,,,,,,
"14","713","Galamuna","No special issues are reported",,,,,,,,
,,,,,,,,"Grand Total","31,894,500",,
