"Table 5.4: Reported landslides/Other hazards in MWS-104 belong to Kundasale DS Division","","","","","","",""
"No","GN Division No","GN Division","Land Slides","Coordinates","NBRO Recommendation","Proposed Measures","NA"
,,,,"N","E",,
"1","674","Maharathanna East","No special issues reported",,,,
"2","692","Kundasale South","No special issues reported",,,,
"3","698","Balagolla East","No special issues reported",,,,
"4","699","Balagolla West","No special issues reported",,,,
"5","700","Kengalla","No special issues reported",,,,
"6","701","Ihalawela","No special issues reported",,,,
"7","702","Aswalapitiya","No special issues reported",,,,
"8","704","Hurikaduwa Madige","1. The sunken bridge at Kengalla - Hurekaduwa Road","7.298953","80.710909","Needs NBRO concern","Improving drainage facility"
,,,"2. Poor drainage - Hurekaduwa Road (infront of the \"Sevapiyasa\")","7.299351","80.710288","Needs NBRO concern","Constructing a 350 m long concrete drain"
"9","705","Menikhinna","No special issues reported",,,,
"10","709","Lunuketiyamadiththa","No special issues reported",,,,
"11","710","Daliiwalathanna","1. Landslide - Gammedda","7.320519","80.719989","NBRO is aware","Giving allotment of other suitable lands as advised by NBRO. The construction of stone terraces, SALT systems and live fence is suitable for the soil conservation. Necessary stone are available on the land."
,,,"2. Landslide - 36/A Nivasa, Kandegammedda","7.315289   7.315038","80.720275  80.719731","NBRO is aware","Giving allotment of other suitable lands as advised by NBRO. The construction of stone terraces, SALT systems and live fence is suitable for the soil conservation. Necessary stone are available on the land."
"12","711","Heepitiya","No special issues reported",,,,
"13","712","Malpana","No special issues reported",,,,
"14","713","Galamuna","No special issues reported",,,,
