"Table 5.44: Expenditure Estimate for training programs","","","","","","","",""
"No","Activity","Number of trainings","Duration in Days","Total   of Participants","Total cost  RS","Con  From DSD RS  Institution","Project Con   RS","Proposed training Partner"
,,,,,,,,
"1","Project Awareness and Orientation Program for 5 MWMs. (MWS-100-1,101-1,102,103-1,104,105,107-1 and 107-2)","Budget was allocated under MWS-100-1 Kundasale","PMU",,,,,
"2","Training of Trainers (for selected officers at DSD level)","Budget was allocated under MWS-100-1 Kundasale","DOA/TBD",,,,,
"3","Water Management Training for the Development officer of DAD in Kandy District","Budget was allocated under MWS-003 Pathahewahata","DAD/ KITI",,,,,
"4","Agriculture productivity improvement training for ARPAs and EDOs (MWS-100-1,101-1,102,103-1,104,105,107-1 and 107-2)","Budget was allocated under MWS-100-1 Kundasale","Natural Resources Management Center+ Export Agriculture Department",,,,,
"5","Good Practices in Agrochemicals and Fertilizer application for ARPAs and EDOs (MWS-100-1,101-1,102,103-1,104,105,107-1 and 107-2)","Budget was allocated under MWS-100-1 Kundasale","DOA/ Natural Resources Management Center/University",,,,,
"6","Climate Change Adaptation Training for MWMC (including technical committee members)","1","1","31","72,190","2,500","69,690","DOA/University"
"7","Construction Supervisory – Basic Training for Economic Development Officers (MWS-100-1,101-1,102,103-1,104,105,107-1 and 107-2)","Budget was allocated under MWS-100-1 Kundasale","District Engineer of District Secretariat",,,,,
"8","Awareness on Water Quality Parameters and Testing Training for EDO (MWS-100-1,101-1,102,103-1,104,105,107-1 and 107-2)","Budget was allocated under MWS-100-1 Kundasale","National water supply and drainage board/Natural Resources Management Center",,,,,
"9","Forest Fire Prevention and Control Training for officers of Forest Department at Kandy District","Budget was allocated under MWS-124-2 (Doluwa)","Forest Department",,,,,
"10","Use of RS and GIS in Watershed management for Officers of Forest Department at Kandy District","Budget was allocated under MWS-124-2 (Doluwa)","Forest Department",,,,,
"11","Forest Restoration training for officers of Forest Department at Kandy District","Budget was allocated under MWS-124-2 (Doluwa)","Forest Department",,,,,
"12","Integrated Watershed Management training for Officers of Forest Department at Kandy District","Budget was allocated under MWS-124-2 (Doluwa)","Forest Department",,,,,
"13","Domestication and use of wild species for watershed management for officers of Forest Department at Kandy District","Budget was allocated under MWS-124-2 (Doluwa)","Forest Department",,,,,
"14","Training for Teachers on Environmental Conservation and Social Responsibility: Protecting the Environment- For Teachers (Kundasale DSD)","Budget was allocated under MWS-100-1 Kundasale","DOA/ Natural Resources Management Center/University",,,,,
"15","Training EDOs and SDO to conduct cascading training on Financial Literacy and Household Money Management (ToT)","Budget was allocated under MWS-100-1 Kundasale","CBSL Matale Regional office/CBSL HO",,,,,
"Training for Communities",,,,,,,,
"16","Exposure Visits to “A Park” for GPC, MDMWMC Members and Farmer Leaders Selected by ARPA. One visit/GND","13","1","650","1,249,950","-","1,249,950","Agriculture Park DoA"
"17","Soil and Water Conservation Training for GPC Community Members and identified Farmers. One Training/GND","13","1","650","873,600","-","873,600","Natural Resources Management Center/DOA"
"18","Good Practices in Agrochemicals and fertilizer application and Integrated Pest Management for GPC Community Members and Identified Farmers -One training/GND","13","1","650","859,950","-","859,950","DOA"
"19","Important of Home Garden Improvement for watershed Management (All 8 MWMs in Kundasale DSD)","Budget was allocated under MWS-100-1 Kundasale","Forest Department",,,,,
"20","Field Day for Soil and Water Conservation Practice and Method for GPC community leaders and Farmers","13","1","650","481,000","-","481,000","AI, AR&PA and EDO/Natural Resources Management Center"
"21","Field Day For Best Practices of Usage of Pesticide, Integrated Pest Control and Fertilizer Application for GPC community members and identified farmers. One training/GND","13","1","650","481,000","-","481,000","AI, AR&PA and EDO"
"22","Household Waste Disposal and Utilization (Compost and biogas preparation) for GPC members and farmers. One training/DSD","13","1","650","860,600","-","860,600","DOA/NRMC"
"23","Green Skill and Green Technology Concept for Youth and GPC members","13","1","520","965,900","32,500","933,400","DOA"
"24","Climate Change Adaptation training for GPC and selected farmers","13","1","650","767,000","-","767,000","AI, EDO"
"25","Conduct Field Day on Climatic Training Adaptation","13","1","650","455,000","-","455,000","AI & EDO"
"26","Forest Fire Prevention and Control GPC and community members","13","1","650","1,055,600",,"1,055,600","Forest Department"
"27","Responsible use of water resources for GPC/GWMC and community members","13","1","650","1,055,600",,"1,055,600","Forest Department"
"28","Important of environment conservation and social responsibility of community- For Student (Grade 11 and Above at Kundasale DSD)","20","1/2 day","Budget is not required","Trained Teachers",,,
"29","Training on Financial Literacy and Household Money Management for Families Selected for Livelihood Development under the Project and Selected Members on Women Development Organization (WDOs)","13","1","650","600,600",,"600,600","EDOs &SDO"
"30","Conduct Refresher Training on Household Money Management for GPC and Community Members","13","1","650","417,300",,"417,300","EDO and SDO"
"31","Career Guidance & Career Fair Event (Kundasale DSD)","Budget was allocated under MWS-100-1 Kundasale","Skills Development Officer & Human Resources Development Assistant of DSD",,,,,
"32","Gender and Social Inclusion Training","1","1","105","110,985","2,625","108,360","TBD"
"33","Community Training - livelihood and Marketing",,,,"855,000","-","855,000",
,"Total Estimated budget",,,,"11,161,275","37,625","11,123,650",
