"Table 5.6: Details Salient features of minor tanks in MWS-104","","",""
"Tank Name","Pahala Bogahapitiya Reservoir","Ritigahawagura Pathaha","Kiramba Pathaha"
"GN","699 Balagolla","700 Kengalla","701 Ihalawela"
"MWS","MWS-104","MWS-104","MWS-104"
"DS","Kundasale","Kundasale","Kundasale"
"District","Kandy","Kandy","Kandy"
"Custodianship","DAD","DAD","DAD"
"Year of Construction","Not Known","Not Known","Not Known"
"Location (Lat)","7.288356","7.304746","7.305754"
"Location (Lon)","80.708819","80.714479","80.716635"
"Hydrological zone","-","-","-"
"Water Surface Area (approx.) (ha)","0.11","0.04","0.096"
"Catchment Area (gross) (km2)","-","-","-"
"Catchment Area (net) (km2)","-","-","-"
"Total command area (ha)","-","5.27","10.50"
"Farmer Organization","-","-","-"
"F.O. registration number","-","-","-"
"Reservations are available or not","No","No","No"
"Reservations are marked or not","No","No","No"
"Bund","Earthen","Earthen/abandoned","Earthen"
"Bund Length (m)","22.00","14.00","18.00"
"Top width (m)","2.50","-","2.50"
"Visible bund height (m)","2.00","-","4.50"
"US & DS slopes (h/b)","1 on 1.5","-","1 on 1"
"Availability of rip rap","No","No","No"
"Spillway","No spill","No spill","CO"
"Station (km+m)","-","-","-"
"Type","-","-","CO"
"Length (m)","-","-","1.50"
"Observed Afflux (m)","-","-","-"
"Duration of spilling (days)","-","-","-"
"No of Sluices (nos)","No sluices","No sluices","1"
"Station/s (km+m)","-","-","-"
"Type/s","-","-","Head wall type"
"Barrel size/s (mm)","-","-","225"
"command area of the sluice (ha)","Not given","5.27","10.50"
"Rectification Details","No tank at the moment. Restoration with new sluice and spillway recommended","Restoration of the tank with ne sluice & spillway is recommended.","Rehabilitation with repairs to structures, desilting, prevent bank erosion, marking reservation proposed"
