"Table 5.9: Estimate for rehabilitation of “Kiramba Pathaha” in 701 Ihalawela GND","",""
"Item","Work Description","Amount  LKR"
"1","Rehabilitation of tank bund",
"1.1","Site clearing and preparation","10,000"
"1.2","Stripping topsoil and including cut and lift up to 1.5m and haul 60 m distance by machinery","4,191.26"
"1.3","Earth excavation form , cut & lift up to 1.0m , placing, spreading, watering and compacting by machinery including transport by 0.75cu Tractor & Tailor within 30m - 1.0Km -including Forming and Sloping in Tank Bund","43,891.20"
"1.4","Cutting, transporting, planting & watering turf (excluding cost of turf)","13,482"
"1.5","Gravel excavation for Canal or Tank and haul the surplus materials up to 1.6 km distance by Machinery. (This rate is excluding of transporting of machinery)","2,289.60"
"1.6","Forming tank bund machinery (This rate is excluding of transporting of machinery)","869.40"
"1.7","Miscellaneous","276.54"
,"SUB TOTAL","75,000"
"2","Repairs to the existing sluice","50,000"
"3","Repairs to the existing spill","50,000"
"4","Wet Silt removing from Canal or Tank beds and haul the surplus materials up to 1.6 km distance by machinery.(This rate is excluding of transporting of machinery)","615,168"
"5","Transporting of earth moving machinery","20,000"
,"Vegetative cover improving around structures (5m x 10m) with planting Arecanut seedling in 1.5m x 1.5m grid, and planting Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlings in 3.5m x 3.5 m grid","88,000"
,"Miscellaneous","1,832"
,"CIVIL COST","900,000"
,"Contingencies 10%","90,000"
,"TOTAL COST","990,000"
