"Table 5.16:Some characteristic species recorded in MWS-107-1","","",""
"Family","Species","Endemicity","Status"
"Araceae","Rhaphidophora decursiva","N","CR"
"Cyatheaceae","Sphaeropteris crinita","N","EN"
"Lauraceae","Actinodaphne speciosa","E","VU"
"Berberidaceae","Berberis ceylanica","E","VU"
"Lauraceae","Cinnamomum ovalifolium","N","VU"
"Poaceae","Davidsea attenuata","EG","VU"
"Orchidaceae","Dendrobium heterocarpum","N","EN"
"Loranthaceae","Dendrophthoe suborbicularis","E","EN"
"Gentianaceae","Exacum macranthum","E","EN"
"Balsaminaceae","Impatiens henslowiana","N","VU"
"Cyatheaceae","Gymnosphaera gigantia","N","EN"
"Lauraceae","Actinodaphne speciosa","E","VU"
"Celastraceae","Salacia reticulata","E","VU"
"Oxalidaceae","Biophytum proliferum","N","LC"
"Phyllanthaceae","Phyllanthus emblica","N","VU"
"Lauraceae","Litsea iteodaphne","EG","VU"
"Orchidaceae","Acanthophippium bicolor","N","EN"
"Balsaminaceae","Impatiens flaccida","E","EN"
"Gentianaceae","Exacum trinarvium","E","EN"
