"Table 5.2: Key activities proposed for soil and water conservation in MWS-107-1","","","","","","","","","","","",""
"No","GN Division No","GN Division","Key Activities proposed for Soil and Water conservation","Priority based on Soil Erosion Hazard","Coordinates","Quantity","Proposed measure s","Uniti Cost  Rs","Total Cost  Rs","Contribution","Time frame for the implementation","NA"
,,,,,"N","E",,,,,,
"1","670","Pallegama","1. Soil conservation practices - Pallegama land (40˚-50˚)","4","7.34081","80.69252","2 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250.00 m-1","500,000.00","Labour and other basic services by the Local community","0.25 Years"
,,,"2. Soil conservation practices - Hadaliyadda (50˚-60˚)","1","7.33338","80.69048","4 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250.00 m-1","1,000,000.00","Labour and other basic services by the Local community","0.25 Years"
,,,"3. Soil conservation practices - Medagammedda land (50˚-60˚)","1","7.33322","80.69349","4 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250.00 m-1","1,000,000.00","Labour and other basic services by the Local community","0.25 Years"
,,,"5. Soil conservation practices - Girambe land  (40˚-60˚)","1","7.33638","80.68744","8 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250.00 m-1","2,000,000.00","Labour and other basic services by the Local community","0.5 Years"
,,,"6. Soil conservation practices - Girambe land  (50˚-60˚)","2","7.33567","80.68695","4 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250.00 m-1","1,000,000.00","Labour and other basic services by the Local community","0.25 Years"
"Sub Total","5,500,000.00",,,,,,,,,,,
"2","671","Wavinna","1. Soil conservation practices - Bobuwaththa  (50˚-70˚)","4","7.33333","80.69604","5 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250.00 m-1","1,250,000.00","Labour and other basic services by the Local community","0.25 Years"
,,,"2. Soil conservation practices - Palpinawa Waththa (50˚-70˚)","1","7.33820","80.70029","12 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250.00 m-1","3,000,000.00","Labour and other basic services by the Local community","0.5 Years"
,,,"3. Soil conservation practices - Wavinna  (50˚-70˚)","2","7.33619","80.70410","4 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250.00 m-1","1,000,000.00","Labour and other basic services by the Local community","0.25 Years"
"Sub Total","5,250,000.00",,,,,,,,,,,
,,,,,,,,"Grand Total",,"10,750,000.00",,
