"Table 5.4: Cost estimate of domestic water supply and water source protection-related proposals","","","","","",""
"GND No","X Name of Spring and place","N","E","Observation","Description","Amount  Rs"
"670","Tube well-Nearly Ranaviru mawatha","7.332870","80.69251","The well, which is 1000 mm in diameter, has  used rings. The hand pump and the pipes inside are decayed.","Replacement of hand pump and pipes with necessary accessories including  fitting","30,000.00"
"671","Punchipihilla Well","7.341840","80.69286","The  well is constructed (1.5m x 1.5m x 0.7 m, L*W*H)Water is used for drinking and bathing","Vegetative cover improving around structures (5m x 10m) with Areca nut seedling in 1.5m x 1.5m grid, Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlings and planting at 3.5m x 3.5 m grid interval","12,100.00"
"671","Ellahena Well","7.333090","80.698890","The  well is constructed (2.2m x 2.0m x 1.2 m, L*W*H)Water is used for drinking and bathing","Plaster 12mm thick in 1:3 cement and sand finished smooth with gray cement floatingFabricating & fixing security weld mesh in opentype buildings in GI weld mesh 50mm x 50mm SWG 10, welded on 40mm x 40mm x 5mm angle frame complete with application of two coats enamel paint over two coats of anticorrosive paint and complete. All as per detail drawing No.CPC/CS/11/04/2017/TYPE‐ST/07MiscellaneousContigencies (10%)","55,000.00"
"671","Dinasiriye Well","7.340120","80.69804","Currently the well is being used by a single person","Vegetative cover improving around structures (5m x 10m) with Areca nut seedling in 1.5m x 1.5m grid, Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlings and planting at 3.5m x 3.5 m grid interval","9,680.00"
"671","Borgahamula Well","7.339630","80.69727","The  Spring is located on reserved land.The  well is constructed (2.1m x 1.8m x 2.7 m, L*W*H)Water is used for drinking and bathing","Fabricating & fixing security weld mesh in opentype buildings in GI weld mesh 50mm x 50mm SWG 10, welded on 40mm x 40mm x 5mm angle frame complete with application of two coats enamel paint over two coats of anticorrosive paint and complete. All as per detail drawing No.CPC/CS/11/04/2017/TYPE‐ST/07MiscellaneousContigencies (10%)","43,450.00"
"671","Kokowaththe Well","7.337500","80.695350","The  well is constructed (1.8m x 1.8m x 2.5 m, L*W*H)it is close to the paddy field.Water is used by only one family for drinking","Vegetative cover improving around structures (5m x 10m) with Areca nut seedling in 1.5m x 1.5m grid, Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlings and planting at 3.5m x 3.5 m grid interval","7,260.00"
"671","Ihala welyaye well","7.335370","80.69633","The  well is constructed . Currently not in used","Vegetative cover improving around structures (5m x 10m) with Areca nut seedling in 1.5m x 1.5m grid, Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlings and planting at 3.5m x 3.5 m grid interval","12,100.00"
"671","Handaliyadde Well","7.333460","80.69513","The well, which is 1.2m  in diameter, has  used rings.  Water is taken by a tap","Vegetative cover improving around structures (5m x 10m) with Areca nut seedling in 1.5m x 1.5m grid, Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlings and planting at 3.5m x 3.5 m grid interval","12,100.00"
"671","Akkara-10 Well","7.335980","80.704600","The  well is constructed  (1.9m x 1.2m x 2.5 m, L*W*H) and a small tank is connected it","Vegetative cover improving around structures (5m x 10m) with Areca nut seedling in 1.5m x 1.5m grid, Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlings and planting at 3.5m x 3.5 m grid interval","12,100.00"
"671","Bandaraela reservaton","7.341760","80.695010","large trees can be seen randomly","Vegetative cover improving around structures (5m x 10m) with Areca nut seedling in 1.5m x 1.5m grid, Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlings and planting at 3.5m x 3.5 m grid intervalMarking ReservationContigencies (10%)","75,240.00"
,,,,"Total",,"269,030.00"
