"Table 5.2: Key ON-FARM activties proposed for soil and water conservation in MWS-124-2 belongs to Doluwa DS Division","","","","","","","","","","","",""
"No","GN Division No","GN Division","Key Activities proposed for Soil and Water conservation","Priority based on Soil Erosion Hazard","Coordinates","Quantity","Proposed measure s","Uniti Cost  Rs","Total Cost  Rs","Contribution","Time frame for the implementation","NA"
,,,,,"N","E",,,,,,
"1","1173","Millagahamula","1. Soil conservation practices Ground (40°-60°)","4","7.151594","80.609677","32 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250.00 m-1","8,000,000.00","Labour and other basic services by the Local community","1.5 Years"
"Sub Total","8,000,000.00",,,,,,,,,,,
"2","1148","Pambadeniya","1. Soil conservation practices)  (40°-60°)","5","7.151712","80.626146","40 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250.00 m-1","10,000,000.00","Labour and other basic services by the Local community","1.5 Years"
"Sub Total","10,000,000.00",,,,,,,,,,,
"3","1182","Rajathalawa","1. Soil conservation practices) - Rajathalawa GND (40°-60°)","5","7.142726","80.645638","20 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250.00 m-1","5,000,000.00","Labour and other basic services by the Local community","1.5 Years"
"Sub Total","5,000,000.00",,,,,,,,,,,
"4","1181","Pupuressa","1. Soil conservation practices) - Bulathwelpatha (50°-70°)","5","7.130785","80.668452","6 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250.00 m-1","2,000,000.00","Labour and other basic services by the Local community","0.5 Years"
"Sub Total","2,000,000.00",,,,,,,,,,,
,,,,,,,,"Grand Total",,"25,000,000.00",,
