"Table 5.23: Key stakeholders of Tea lands","","","","","","",""
"Activity","Location","Description","Quantity","Units","Rate  LKR","Amount  LKR","Duration"
"Conduct 04 awareness programs","Pupuressa","Refreshments","160","Packs","400","64,000","2025"
,,"Fuel                                                  (Rs 3,750/programs) - Two visits ( for organizing and conducting program)","8","Lump sum","3,750","30,000",
,,"Stationaries (file covers/ Handouts)","4","Lump sum","2,500","12,500",
,,,,,"Sub total","106,500",
,,"Contingency (10%)",,,,"10,650",
,,,,,"Total","117,150",
"Establish 02 forest protection action groups","Pupuressa","Refreshments","80","Packs","400","32,000","2026"
,,"Fuel (Rs 3,750/programs) - Two visits (for organizing and conducting program)","4","Lump sum","3,750","15,000",
,,"Stationaries (Training materials)","2","Lump sum","2,500","5,000",
,,"Firefighting tools","16","Items","3,500","56,000",
,,,,,"Sub total","108,000",
,,"Contingency (10%)",,,,"10,800",
,,,,,"Total","118,800",
"Erect 04 display boards","Along Mulgama road, Delpitiya road, Near Sri Muththumarium temple","Preparation of display Boards (2’x3) (Aluminium sheets and GI pipes)","2","Boards","24,250","48,500","2026"
,,"Transportation of boards","2","Truck load","5,000","10,000",
,,"Metal, Sand and Cement mixture for erection of board","2","Lump sum","750","1,500",
,,"Fixing Boards (2 Man days/Board)","4","Man days","2,500","10,000",
,,,,,"Sub Total","70,000",
,,"Contingency (10%)",,,,"7,000",
,,,,,"Total","77,000",
"Home garden Development (20 units)","Pupuressa","Purchasing fruit plants (9\"x6\")","200","Seedlings","300","60,000","2026"
,,"Production of Seedlings         (Forest plants)","600","Seedlings","50","30,000",
,,"Loading                                             (01 Man day/1,800 Seedlings)","1","Man days","2,500","2,500",
,,"Loading unloading                          (01 Man day/1,800 Seedlings)","1","Man days","2,500","2,500",
,,"Transportation and distribution (2000 Seedling/Lorry load)","1","Lorry load","7,500","7,500",
,,,,,"Sub Total","102,500",
,,"Contingency (10%)",,,,"10,250",
,,,,,"Total","112,750",
"Surveying and Demarcation (By DS)","Pambadeniya, 7.150980, 80.625815","Purchase boundary posts","40","Boundary posts","4,500","180,000","2027"
,,"Loading boundary posts","1","Man days","2,500","2,500",
,,"Unloading boundary posts","1","Man days","2,500","2,500",
,,"Transport cost (to the nearest motorable place) 100 boundary posts/ lorry load","1","2,500","2,500","2,500",
,,"Head load - Transport boundary posts to the forest boundary","20","Man days","2,500","50,000",
,,"Holing (500 mm x 200mm x 200)","4","Man days","2,500","10,000",
,,"Preparation field and erection","4","Man days","2,500","10,000",
,,"Cost of Cement, metal and sand","40","nr","375","15,000",
,,"Head load -Transport Cement, metal and sand","16","Man days","2,500","40,000",
,,,,,"Sub Total","312,500",
,,"Contingency (10%)",,,,"31,250",
,,,,,,"343,750",
"Surveying and Demarcation (By DS)","Pupuressa Natsa No.4,
7.131909, 80.669471","Purchase boundary posts","20","Boundary posts","4,500","90,000","2027"
,,"Loading boundary posts","1","Man days","2,500","2,500",
,,"Unloading boundary posts","1","Man days","2,500","2,500",
,,"Transport cost (to the nearest motorable place) 100 boundary posts/ lorry load","1","2,500","2,500","2,500",
,,"Head load - Transport boundary posts to the forest boundary","10","Man days","2,500","25,000",
,,"Holing (500 mm x 200mm x 200)","2","Man days","2,500","5,000",
,,"Preparation field and erection","2","Man days","2,500","5,000",
,,"Cost of Cement, metal and sand","20","nr","375","7,500",
,,"Head load -Transport Cement, metal and sand","8","Man days","2,500","20,000",
,,,,,"Sub Total","160,000",
,,"Contingency (10%)",,,,"16,000",
,,,,,,"176,000",
"Total",,,,,,"945,450",
