"Table 5.33: Timeframe for the implementation","","","","","","",""
"Type","Items Needed","GNDs Requested","Number","Unit Cost  Rs","Total Cost  Rs","Contribution     GoSL","Final cost to GoSL  Rs"
"Paddy","Tray","Millagahamula 100, Pabadeniya175, Rajathalawa 100, Pupuressa 200","575","80","46,000","0.50","23,000"
,"Electric fence","Millagahamula 2, Pabadeniya  3, Rajathalawa 3, Pupuressa 4","12","36,000","432,000","0.50","216,000"
"Vegetable","Capsicum","Millagahamula 4, Pabadeniya 4, Rajathalawa 5, Pupuressa 3","16","40/perches unit - 20g. 3,000","48,000","1","48,000"
,"Cabbage","Millagahamula 3, Pabadeniya 4, Rajathalawa 4, Pupuressa 3","14","40/perches unit - 20g. 6,000","84,000","1","84,000"
,"Beans","Millagahamula 5, Pabadeniya 4, Rajathalawa 3, Pupuressa 3","15","40/perches unit - 1500g. 4,500","67,500","1","67,500"
"Fruits","Banana","Millagahamula 50, Pabadeniya 60, Rajathalawa 50, Pupuressa 50","210","120","25,200","1","25,200"
,"Avocado","Millagahamula 25, Pabadeniya 50, Rajathalawa 25, Pupuressa 25","125","200","25,000","1","25,000"
,"Mango","Millagahamula 50, Pabadeniya 50, Rajathalawa 25, Pupuressa  25","150","300","45,000","1","45,000"
"Export Crops","Coffee","Millagahamula 200, Pabadeniya 150, Rajathalawa 200, Pupuressa 150","700","30","21,000","1","21,000"
,"Pepper","Millagahamula 200, Pabadeniya 150, Rajathalawa 150, Pupuressa 100","600","40","24,000","1","24,000"
,"Ginger","Millagahamula 100, Pabadeniya 100, 150, Pupuressa 150","500","18","9,000","1","9,000"
"Livestock","No of cow","Millagahamula 2, Pabadeniya 2, Rajathalawa 2, Pupuressa 2","8","250,000","2,000,000","0.50","1,000,000"
,"No of chicks","Millagahamulan 50, Pabadeniya 50, Rajathalawa 50, Pupuressa 50","200","1,500","300,000","0.50","150,000"
"Protected Agriculture","Polytunnel","Millagahamula 1, Pabadeniya 1, Rajathalawa 1, Pupuressa 1","4","700,000","2,800,000","0.50","1,400,000"
"Value added pro","Bee keeping (Box &  bees)","Millagahamula 10, Pabadeniya 10, Rajathalawa 5, Pupuressa 5","30","8,000","240,000","0.75","180,000"
,"Black Pepper machine","Millagahamula 2, Pabadeniya 3, Rajathalawa 1, Pupuressa 1","7","10,000","70,000","0.50","35,000"
"Total Cost",,,,,"5,559,200",,"3,352,700"
