"Table 5.5: Cost estimate of water source protection-related proposals","","","","","",""
"GND No","Name of Spring and place","N","E","Observation","Description","Amount  Rs"
"1173","Kirimetiya","7.150039","80.610418","Located in the Kirimetiya reserve. There is a collecting pit built of concrete (L=0.75m, W=0.75m, H=0.9m). Water is leaking from the catchpit and the boundaries are not marked. There are no boundaries.","Construction of curtain wall (0.075mm thk) with 1:2:4 (3/4\") concrete, 1/2\" dowels at 600mm x 600mm intervals and embedded with chicken mesh","88,000"
,,,,,"12.5mm thick rough ct.plaster in 1:3 cement sand mortar semi rough finish(UR55)",
,,,,,"Fabricating & fixing security weld mesh in open-type buildings in GI weld mesh 50mm x 50mm SWG 10, welded on 40mm x 40mm x 5mm angle frame complete with application of two coats enamel paint over two coats of anticorrosive paint and complete.All as per detail drawing No.CPC/CS/11/04/2017/TYPE-ST/07",
,,,,,"Vegetative cover improving around structures (5m x 10m) with planting Arecanut seedling in 1.5m x 1.5m grid, and planting Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlings in 3.5m x 3.5 m grid",
,,,,,"Miscellaneous",
,,,,,"CONTINGANCIES 10%",
"1148","Pambadeniya Water source","7.152542","80.629380","Located in the Punchikele reserve. There is a tank built of concrete (Dia.6m, H=6.5m). A formal water scheme is in place.","Vegetative cover improving around structures (5m x 10m) with planting Arecanut seedling in 1.5m x 1.5m grid, and planting Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlings in 3.5m x 3.5 m grid","99,000"
,,,,,"Miscellaneous",
,,,,,"CONTINGANCIES 10%",
"1182","Rajathalawa (Near the CEB transformer)","7.142533","80.649158","A well has been constructed using RRM and the top of the well is covered with a concrete slab. (L=2.4m, W=2.1m, H=1.2m).  The boundaries are not marked.","Vegetative cover improving around structures (5m x 10m) with planting Arecanut seedling in 1.5m x 1.5m grid, and planting Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlings in 3.5m x 3.5 m grid","99,000"
,,,,,"Miscellaneous",
,,,,,"CONTINGANCIES 10%",
"1181","Pupuressa Middle division Spring","7.127333","80.688299","Located in the Pupuressa estate. There is a collecting pit built of concrete (L=1.5m, W=1.2m, H=0.9m). There are no boundaries.","Vegetative cover improving around structures (5m x 10m) with planting Arecanut seedling in 1.5m x 1.5m grid, and planting Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlings in 3.5m x 3.5 m grid","96,800"
,,,,,"Miscellaneous",
,,,,,"CONTINGANCIES 10%",
"1181","Pupuressa Randiya water scheme-water source","7.131909","80.669471","A dam and catchpit is built across a flowing water stream to collect water(L=1.0m, W=1.0m, H=0.6m). A formal water scheme has been established. The boundaries are not marked.","Vegetative cover improving around structures (5m x 10m) with planting Arecanut seedling in 1.5m x 1.5m grid, and planting Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlings in 3.5m x 3.5 m grid","96,800"
,,,,,"Miscellaneous",
,,,,,"CONTINGANCIES 10%",
"1181","Stellenberg Estate No.03 Spring","7.108791","80.695147","A dam has been built to collect water and a stock tank has been constructed to store that water. There are no boundaries. [Stock tank Location - N 7.108793, E 80.695004]","Vegetative cover improving around structures (5m x 10m) with planting Arecanut seedling in 1.5m x 1.5m grid, and planting Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlings in 3.5m x 3.5 m grid","99,000"
,,,,,"Miscellaneous",
,,,,,"CONTINGANCIES 10%",
"1181","Kachamale Water source","7.103044","80.681595","This is a spring-fed stream, and many people use water from this canal.","Vegetative cover improving for narrow strips (1.5m-2.0m wide) with Arecanut seedlings at 1.5m spacing in 2 rows, Betel plants VP at 3m spacing in 1 row, Green gram as a cover crop","1,058,200"
,,,,,"Miscellaneous",
,,,,,"CONTINGANCIES 10%",
"1173","Kirimetiya","7.150039","80.610418","There is big trees and it borders privet lands.  Land is being illegally acquired because there are no boundaries.","Vegetative cover improving around structures (5m x 10m) with planting Arecanut seedling in 1.5m x 1.5m grid, and planting Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlings in 3.5m x 3.5 m grid","247,500"
,,,,,"Miscellaneous",
,,,,,"CONTINGANCIES 10%",
