"Table 5.6: Cost estimate of domestic water supply","","","","","",""
"GND No","Name of Spring and place","N","E","Observation","Description","Amount  Rs"
"1173","Gramhill Colony","7.151581","80.609558","A well has been built to collect spring water (Dia.=5.0m, H=6.0m). There is stock tank and filtering system. It is a well-functioning water scheme. There are no boundaries. Villagers request construction of another stock tank (20000L) to further expand water distribution.","Construction of Concrete water storage tank of 20 cum - size internal t 3mx3mx2.5","863,500"
,,,,,"Vegetative cover improving around structures (5m x 10m) with planting Arecanut seedling in 1.5m x 1.5m grid, and planting Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlings in 3.5m x 3.5 m grid",
,,,,,"Miscellaneous",
,,,,,"Contingencies 10%",
"1181","Pupuressa","7.131697","80.667121","A dam and catchpit is built across a flowing water stream to collect water(L=1.0m, W=1.0m, H=0.6m). A formal water scheme has been established. The boundaries are not marked.","Vegetative cover improving around structures (5m x 10m) with planting Arecanut seedling in 1.5m x 1.5m grid, and planting Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlings in 3.5m x 3.5 m grid","304,700"
,,,,,"Miscellaneous",
,,,,,"CONTINGANCIES 10%",
"1181","Pupuressa","7.116805","80.678575","A  catchpit is built across a flowing water stream to collect water(L=5.75m, W=3.75m, H=3.0m). A Stock tank has been constructed using RRM (L=2.0m, W=1.0m, H=0.6m) and the top is covered with a concrete slab.  Water is leaking from the well and the boundaries are not marked.","Construction of curtain wall (0.075mm thk) with 1:2:4 (3/4\") concrete, 1/2\" dowels at 600mm x 600mm intervals and embedded with chicken mesh","38,500"
,,,,,"Miscellaneous",
,,,,,"Contingencies 10%",
,,,,"Total",,"1,206,700"
