"Table 5.7: Cost estimate of minor irrigation related proposals with locations","","","","","",""
"GND No","Name of the Irrigation System","N","E","Observation","Description","Amount  Rs"
"1173","Mahara wela raja ela canal","7.152694","80.62017","The anicut is in good condition. The total length of canal is 2.5Km. Although some parts of the canal have been concreted, some parts of it have fallen in to disrepair (W=0.6m and, H=0.45m). There is still about 1.5Km to be concreted. 108 Acres of paddy is cultivated from this canal.","Canals reservation protection by concrete lining  For  125mm thick , 0.5m  wide  and 0.4m high canal -double banking","4,983,000"
,,,,,"Stream / canal  reservation protection by earthfilling of  strip   of 1.5m to 2m wide  and average Depth of 0.5m",
,,,,,"Vegetative cover improving for narrow strips (1.5m-2.0m wide) with Arecanut seedlings at 1.5m spacing in 2 rows, Betel plants VP at 3m spacing in 1 row, Green gram as a cover crop",
,,,,,"Construction of 60m long Trough (with 0.50m x 0.40m section), 10 no of 6 m long spans, 9 nos of piers (1 m high x 10 nos piers + 0 m high x -1 nos piers)",
,,,,,"Miscellaneous",
,,,,,"Contingencies",
"1181","Parana pattiya anicut","7.125662","80.66219","Located in atabage oya. The canal and the anicut have been completely destroyed.","Construction of 1.5 m high Weir across stream / river excluding abutments and stop planks","4,873,000"
,,,,,"Construction of 1.8m high 1:3:6 (40mm) cement concrete Retaining Wall",
,,,,,"75mm tk. Stop planks (kumbuk ) with 10mm dia. 2nos. M. S. Iron hooks and applies 2 coats of hot tar.",
,,,,,"Vegetative cover improving around structures (5m x 10m) with planting Arecanut seedling in 1.5m x 1.5m grid, and planting Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlings in 3.5m x 3.5 m grid",
,,,,,"Canals reservation protection by concrete lining  For  125mm thick , 0.5m  wide  and 0.4m high canal -double banking",
,,,,,"Stream / canal  reservation protection by earthfilling of  strip   of 1.5m to 2m wide  and average Depth of 0.5m",
,,,,,"Vegetative cover improving for narrow strips (1.5m-2.0m wide) with Arecanut seedlings at 1.5m spacing in 2 rows, Betel plants VP at 3m spacing in 1 row, Green gram as a cover crop",
,,,,,"Miscellaneous",
,,,,,"Contingencies",
,,,,,"Total","9,856,000"
