"Table 5.2: Key ON-FARM activties proposed for soil and water conservation in MWS-125 belongs to Doluwa DS Division","","","","","","","","","","","",""
"No","GN Division No","GN Division","Key Activities proposed for Soil and Water conservation","Priority based on Soil Erosion Hazard","Coordinates","Quantity","Proposed measure s","Uniti Cost  Rs","Total Cost  Rs","Contribution","Time frame for the implementation","NA"
,,,,,"N","E",,,,,,
"1","1147","Panvilathanna","1. Soil conservation practices - Panvilathanna GND (40°-60°)","1","7.155298","80.637007","20 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","5,000,000","Labour and other basic services by the Local community","1 Year"
"Sub Total","5,000,000",,,,,,,,,,,
"2","1141","Masgolla","1. Soil conservation practices)  (50°-60°)","4","7.155291","80.652686","10 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","2,500,000","Labour and other basic services by the Local community","0.5 Years"
"Sub Total","2,500,000",,,,,,,,,,,
"3","1138","Gurukele","No special issues are reported",,,,,,,,,
"4","1142","Hunugala","1. Soil conservation practices) (35°-40°)","3","7.146069","80.670381","32 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","400 m-1","12,800,000","Labour and other basic services by the Local community","1 Year"
"Sub Total","12,800,000",,,,,,,,,,,
"5","1134","Ududeniya","No special issues are reported",,,,,,,,,
,,,,,,,,"Grand Total",,"20,300,000",,
