"Table 5.34:Cost estimates","","","","","","",""
"Type","X Items Needed","X GNDs Requested","X Number","X Unit Cost  Rs","X Total Cost  Rs","X Contribution     from  GoSL","X Final cost to GoSL  Rs"
"Paddy","Tray","Panvilathenna 50 Gurukele 100 Hunugala 100 Ududeniya 75 Masgolla 50","375","80.00","30,000.00","0.50","15,000.00"
,"Electric fence","Panvilathenna 3, Gurukele 4. Hunugalabn3 Ududeniya, 2 Masgolla 3","15","36,000.00","540,000.00","0.50","270,000.00"
"Vegetable","Capsicum","Panvilathenna 3 Gurukele 3 Hunugala 4, Ududeniya 2, Masgolla 2","14","40/perches unit - 20g. 3,000.00","42,000.00","1.00","42,000.00"
,"Green chili","Panvilathenna 2, Gurukele 3. Hunugala 5, Ududeniya 4, Masgolla 3","17","40/perches unit - 50g. 1,500.00","25,500.00","1.00","25,500.00"
,"Beans","Panvilathenna 4, Gurukele 3. Hunugala 3, Ududeniya 2, Masgolla 4","16","40/perches unit - 1500g. 4,500.00","72,000.00","1.00","72,000.00"
,"Tomato","Panvilathenna 2, Gurukele 2. Ududeniya 3, Masgolla 3","10","40/perches unit - 10g. 6,000.00","60,000.00","1.00","60,000.00"
"Fruits","Banana","Panvilathenna 100, Gurukele 50 Hunugala 50, Ududeniya 50, Masgolla 100","350","120.00","42,000.00","1.00","42,000.00"
,"Avocado","Panvilathenna 50, Gurukele 50. Hunugala 50, Ududeniya 25, Masgolla","175","200.00","35,000.00","1.00","35,000.00"
,"Mango","Panvilathenna 50, Gurukele 50. Hunugala 75, Ududeniya 75, Masgolla 50","300","300.00","90,000.00","1.00","90,000.00"
"Export Crops","Coffee","Panvilathenna 200, Gurukele 150. Hunugala 100, Ududeniya 150, Masgolla 100","700","30.00","21,000.00","1.00","21,000.00"
,"Pepper","Panvilathenna 150, Gurukele 200. Hunugala 150, Ududeniya150, Masgolla 200","850","40.00","34,000.00","1.00","34,000.00"
,"Areca nut","Panvilathenna 100, Gurukele 200. Hunugala 100, Ududeniya 100, Masgolla 75","575","40.00","23,000.00","1.00","23,000.00"
,"Ginger","Panvilathenna 100, Gurukele 200. Hunugala 150, Ududeniya 150, Masgolla 50","650","18.00","11,700.00","1.00","11,700.00"
"Livestock","No of cow","Panvilathenna 2 Gurukele. 1 Hunugala 2,","5","250,000.00","1,250,000.00","0.50","625,000.00"
,"No of chicks","Panvilathenna 50, Gurukele 100 Hunugala 50, Ududeniya 50, Masgolla 50","300","1,500.00","450,000.00","0.50","225,000.00"
"Protected Agriculture","Polytunnel","Panvilathenna 3, Gurukelen 3","6","700,000.00","4,200,000.00","0.50","2,100,000.00"
"Value added products","Bee keeping (Box 4000/=  bees)","Panvilathenna 5, Gurukele 5. Hunugala 5, Ududeniya 5, Masgolla 5","25","8,000.00","200,000.00","0.75","150,000.00"
,"Black Pepper making machines (Balancing kit)","Panvilathenna 2, Gurukele 1. Hunugala 2, Ududeniya 1, Masgolla 1","7","10,000.00","70,000.00","0.50","35,000.00"
"Total Cost",,,,,"6,426,700.00",,"3,876,200.00"
