"Table 5.4: Cost estimate of water source protection-related proposals","","","","","",""
"GND No","X Name of Spring and place","N","E","Observation","Description","X Amount  Rs"
"1147","Janitawa Spring","7.159366","80.635673","Its is made of stone and is not currently used.","Vegetative cover improving around structures (5m x 10m) with planting Arecanut seedling in 1.5m x 1.5m grid, and planting Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlings in 3.5m x 3.5 m grid","49,500.00"
,,,,,"Miscellaneous",
,,,,,"Contingancies 10%",
"1147","Atambagahamula yaya Springs 1","7.155086","80.633411","A well built with RRM. Currently completely overgrown because it is not being used. (L=1.5m, W=1.5m, H=2.1m)","Clearing the are including wells","115,500.00"
,,,,,"Vegetative cover improving around structures (5m x 10m) with planting Arecanut seedling in 1.5m x 1.5m grid, and planting Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlings in 3.5m x 3.5 m grid",
,,,,,"Miscellaneous",
,,,,,"Contingancies 10%",
"1147","Atambagahamula yaya Springs 2","7.154989","80.633331","A well built with RRM. Currently completely overgrown because it is not being used. (L=2.1m, W=1.5m, H=1.5m)","Clearing the are including wells","115,500.00"
,,,,,"Vegetative cover improving around structures (5m x 10m) with planting Arecanut seedling in 1.5m x 1.5m grid, and planting Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlings in 3.5m x 3.5 m grid",
,,,,,"Miscellaneous",
,,,,,"Contingancies 10%",
"1141","Galekanda reserve","7.152599","80.651570","There is group of springs. There is enough water to start a new water project.","Vegetative cover improving around structures (5m x 10m) with planting Arecanut seedling in 1.5m x 1.5m grid, and planting Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlings in 3.5m x 3.5 m grid","99,000.00"
,,,,,"Miscellaneous",
,,,,,"Contingancies 10%",
"1141","Morahena water spring","7.156072","80.692562","Located on pitawala GND. A dam has been built across a spring-fed stream to collect water(L=3m, H=0.3m, W=0.3m). This dam is difficult to reach maintenance during the rainy season.","Vegetative cover improving around structures (5m x 10m) with planting Arecanut seedling in 1.5m x 1.5m grid, and planting Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlings in 3.5m x 3.5 m grid","99,000.00"
,,,,,"Miscellaneous",
,,,,,"Contingancies 10%",
"1138","Gurukele 324 division - 'Akkara 80' water source (Northern part)","7.168761","80.631598","Located in the \"Akkara 80\" water catchment area. A canal is built to collect water from groups of springs and bring the water to the catch pit.  No water filtering system and boundaries.","Vegetative cover improving around structures (5m x 10m) with planting Arecanut seedling in 1.5m x 1.5m grid, and planting Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlings in 3.5m x 3.5 m grid","99,000.00"
,,,,,"Miscellaneous",
,,,,,"Contingancies 10%",
"1138","324 water source - Southern part","7.169389","80.630157","Located in the \"Akkara 80\" water catchment area. A small dam is built across a flowing water stream to collect water. No water filtering system and boundaries.","Vegetative cover improving around structures (5m x 10m) with planting Arecanut seedling in 1.5m x 1.5m grid, and planting Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlings in 3.5m x 3.5 m grid","99,000.00"
,,,,,"Miscellaneous",
,,,,,"Contingancies 10%",
"1138","Water source of farm division","7.168422","80.636450","Located in the Rajamale canal reserve land. There is a catch pit built with soil and stones, and there is a very bad smell in this area due to the poultry farm.","Common excavation for foundation or quarry materials and haul the surplus materials up to 30m. by Machinery. (This rate is excluding of transporting of machinery)","572,000.00"
,,,,,"150mm x 225mm Random Rubble masonry work in 1:5 cement and sand mortar in structures",
,,,,,"Plaster 12mm thick in 1:3 cement and sand finished smooth with gray cement floating",
,,,,,"1:3:6 (40mm) concrete manual mix (volume batching)",
,,,,,"Fabricating & fixing security weld mesh in open-type buildings in GI weld mesh 50mm x 50mm SWG 10, welded on 40mm x 40mm x 5mm angle frame complete with application of two coats enamel paint over two coats of anticorrosive paint and complete.All as per detail drawing No.CPC/CS/11/04/2017/TYPE-ST/07",
,,,,,"Vegetative cover improving around structures (5m x 10m) with planting Arecanut seedling in 1.5m x 1.5m grid, and planting Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlings in 3.5m x 3.5 m grid",
