"Table 5.5: Cost estimate of domestic water supply related proposals","","","","","",""
"GND No","X Name of the Area","N","E","Observation","Description","X Amount  Rs"
"1147","Panvilathanna",,,"It is well-established water project with a stock tank and filter system.","Vegetative cover improving around structures (5m x 10m) with planting Arecanut seedling in 1.5m x 1.5m grid, and planting Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlings in 3.5m x 3.5 m grid","27,500.00"
,,,,,"Miscellaneous",
,,,,,"Contingancies 10%",
"1147","Lorawattha","7.157258","80.639862","Water obtained from the canal using separate pipes for the houses.","Vegetative cover improving around structures (5m x 10m) with planting Arecanut seedling in 1.5m x 1.5m grid, and planting Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlings in 3.5m x 3.5 m grid","27,500.00"
,,,,,"Miscellaneous",
,,,,,"Contingancies 10%",
"1141","Mulgamawattha","7.155816","80.653701","Located on Galekanda reserve. A dam has been built across a spring-fed stream to collect water. There is stock tank and filtering system. It is a well-functioning water scheme.","Vegetative cover improving around structures (5m x 10m) with planting Arecanut seedling in 1.5m x 1.5m grid, and planting Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlings in 3.5m x 3.5 m grid","27,500.00"
,,,,,"Miscellaneous",
,,,,,"Contingancies 10%",
"1141","Morahena","7.156072","80.692562","Located on pitawala GND. A dam has been built across a spring-fed stream to collect water(L=3m, H=0.3m, W=0.3m). This dam is difficult to reach maintenance during the rainy season. There is stock tank and filtering system. It is a well-functioning water scheme.","Demolishing existing structure and clearing the site","1,474,000.00"
,,,,,"Construction of 0.6 m high Weir across stream excluding abutments and stop planks",
,,,,,"Construction of 1.0m high 1:3:6 (40mm) cement concrete Retaining Wall",
,,,,,"75mm tk. Stop planks (kumbuk ) with 10mm dia. 2nos. M. S. Iron hooks and applies 2 coats of hot tar.",
,,,,,"Supply & install of 225 mm CI gate complete set including Spindle, Housing, Base plate, Closing plate, Key, Brass nut, and other required accessories. (This rate is excluding of transport of materials)",
,,,,,"Canal reservation protection by concrete lining  For  100mm thick , 0.3m  wide  and 0.3m high canal -double banking",
,,,,,"Construction of 1.2m x 1.2m x 1.2m catchpit",
,,,,,"Vegetative cover improving around structures (5m x 10m) with planting Arecanut seedling in 1.5m x 1.5m grid, and planting Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlings in 3.5m x 3.5 m grid",
,,,,,"Miscellaneous",
,,,,,"Contingancies 10%",
"1138","Gurukele 324 division","7.168761","80.631598","Located in the \"Akkara 80\" water catchment area. A canal is built to collect water from groups of springs and bring the water to the catch pit.  No water filtering system and boundaries. There is a concrete stock tank (4m x 4m x3m)","Vegetative cover improving around structures (5m x 10m) with planting Arecanut seedling in 1.5m x 1.5m grid, and planting Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlings in 3.5m x 3.5 m grid","1,199,000.00"
,,,,,"Supplying of plastic volumetric water meters",
,,,,,"Miscellaneous",
,,,,,"Contingancies 10%",
"1138","Gurukele farm division","7.169389","80.630157","Located in the \"Akkara 80\" water catchment area. A small dam is built across a flowing water stream to collect water. No water filtering system and boundaries.","Vegetative cover improving around structures (5m x 10m) with planting Arecanut seedling in 1.5m x 1.5m grid, and planting Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlings in 3.5m x 3.5 m grid","440,000.00"
,,,,,"Supplying of plastic volumetric water meters",
,,,,,"Miscellaneous",
,,,,,"Contingancies 10%",
"1134","N.F. division 8th division","7.14694","80.675059","There is a stock tank here (L=2.4m, W=2.4m, H=2.4m), But no water purification system. The boundaries also not marked.","Vegetative cover improving around structures (5m x 10m) with planting Arecanut seedling in 1.5m x 1.5m grid, and planting Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlings in 3.5m x 3.5 m grid","291,500.00"
,,,,,"Supplying of plastic volumetric water meters",
,,,,,"Miscellaneous",
,,,,,"Contingancies 10%",
,,,,"Total",,"3,487,000.00"
