"Table 5.11: Estimate for rehabilitation of   Pussethenna Wewa in Orayanwaththa GND (1154)","",""
"Item","Work Description","Amount  LKR"
"1","Rehabilitation of the tank bund",
"1.1","Earth excavation and haul the surplus materials up to 1.6 km distance by Machinery. (This rate is excluding of transporting of machinery)","65,013.84"
"1.2","Forming tank bund machinery (This rate is excluding transporting machinery)","27,473.04"
"1.3","Cutting, transporting, planting & watering turf (excluding cost of turf)","28,930.13"
"1.4","Gravel excavation for Canal or Tank and haul the surplus materials up to 1.6 km distance by Machinery. (This rate is excluding of transporting of machinery)","3,052.80"
"1.5","Forming tank bund machinery (This rate is excluding transporting machinery)","1,159.20"
"1.6","Miscellaneous","4,370.99"
,"SUB TOTAL","130,000.00"
,,
"2","Wet Silt removing from Canal or Tank beds and haul the surplus materials up to 1.6 km distance by machinery.(This rate is excluding of transporting of machinery)","384,480.00"
"3","Repairs to the sluice","250,000.00"
"4","Transporting of earth moving machinery","20,000.00"
"5","Tidying up","520.01"
,"CIVIL COST","785,000.00"
"6","Contingencies 10%","78,500.00"
,"TOTAL COST","863,500.00"
