"Table 5.12: Estimate for rehabilitation of  Kande Wewa in Godawela GND (1156)","",""
"Item","Work Description","Amount  LKR"
"1","Rehabilitation of the tank bund",
"1.1","Earth excavation and haul the surplus materials up to 1.6 km distance by Machinery. (This rate is excluding of transporting of machinery)","470,330.78"
"1.2","Forming tank bund machinery (This rate is excluding transporting machinery)","198,748.70"
"1.3","Cutting, transporting, planting & watering turf (excluding cost of turf)","160,660.50"
"1.4","Gravel excavation for Canal or Tank and haul the surplus materials up to 1.6 km distance by Machinery. (This rate is excluding of transporting of machinery)","15,671.04"
"1.5","Forming tank bund machinery (This rate is excluding transporting machinery)","5,950.56"
"1.6","Tidying up","3,638.41"
"1.7","Transporting of earth moving machinery","20,000.00"
,"SUB TOTAL","875,000.00"
"2","Wet Silt removing from Canal or Tank beds and hauling the surplus materials up to 1.6 km distance by machinery. (This rate is excluding of transporting of machinery)","768,960.00"
"3","Vegetative cover improving around structures (5m x 10m) with planting Arecanut seedling in 1.5m x 1.5m grid, and planting Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlings in 3.5m x 3.5 m grid","308,000.00"
"4","Miscellaneous","3,040.00"
,"CIVIL COST","1,955,000.00"
"5","Contingencies 10%","195,500.00"
,"TOTAL COST","2,150,500.00"
