"Table 5.17: Cost estimate of domestic water supply protection-related proposals","","","","","",""
"GND No","Name of the Area","N","E","Observation","Description","Amount  Rs"
"1155","Abakumbura pihilla","7.18792","80.608086","This is built for bathing.","Clearing the site and stripping top soil","33,000.00"
,,,,,"1:3:6 (40mm) concrete manual mix (volume batching)",
,,,,,"Miscellaneous",
,,,,,"Contingancies 10%",
"1136","Nawa Gurukele","7.179589","80.627369","Water is taken from the keppetoyawa canal. There is no catchpit or water filtering system.","Construction of 1.0m x 1.0m x 0.6m catchpit","577,500.00"
,,,,,"Common excavation for foundation or quarry materials and haul the surplus up to 30m by Manually.",
,,,,,"Plywood form work including making, fixing & removing for structure -05 uses",
,,,,,"1:3:6 (40mm) concrete manual mix (volume batching)",
,,,,,"Cover slabs",
,,,,,"1:2:4 (20mm) concrete manual mix  (volume batching)",
,,,,,"Cutting, Bending & Placing tor steel reinforcement bars",
,,,,,"Vegetative cover improving for narrow strips (1.5m-2.0m wide) with Arecanut seedlings at 1.5m spacing in 2 rows, Betel plants VP at 3m spacing in 1 row, Green gram as a cover crop",
,,,,,"Miscellaneous",
,,,,,"Contingancies 10%",
"1136","Nawa Gurukele","7.181757","80.619298","A well has been constructed using RRM (L=1.8m, W=1.0m, H=1.0m).  Water is leaking from the well and the boundaries are not marked.","Construction of curtain wall (0.075mm thk) with 1:2:4 (3/4\") concrete, 1/2\" dowels at 600mm x 600mm intervals and embedded with chicken mesh","121,000.00"
,,,,,"Plaster 12mm thick in 1:3 cement and sand finished smooth with gray cement floating",
,,,,,"Vegetative cover improving around structures (5m x 10m) with planting Arecanut seedling in 1.5m x 1.5m grid, and planting Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlings in 3.5m x 3.5 m grid",
,,,,,"Miscellaneous",
,,,,,"Contingancies 10%",
"1136","Nawa Gurukele","7.179068","80.620211","A pit has been built using stones and soil. There are no boundaries.","Supplying of 1200mm Dia x 2.44m long Hume Pipes","231,000.00"
,,,,,"Loading and Unloading 1200mm diameter 2.44m Long HumePipes",
,,,,,"Common excavation for foundation or quarry materials and haul the surplus up to 30m by Manually.",
,,,,,"150mm x 225mm Random Rubble masonry work in 1:5 cement and sand mortar in structures",
,,,,,"Plaster 12mm thick in 1:3 cement and sand finished smooth with gray cement floating",
,,,,,"1:3:6 (40mm) concrete manual mix (volume batching)",
,,,,,"Vegetative cover improving around structures (5m x 10m) with planting Arecanut seedling in 1.5m x 1.5m grid, and planting Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlings in 3.5m x 3.5 m grid",
,,,,,"Miscellaneous",
,,,,,"Contingancies 10%",
"1143","Demodarawattha","7.158981","80.59974","Water is obtained from the Kirigahamula Ella canal where the spring water flows. There is no catchpit or water filtering system. Water is consumed irregularly.","Construction of 1.0m x 1.0m x 0.6m catchpit","258,500.00"
,,,,,"Common excavation for foundation or quarry materials and haul the surplus up to 30m by Manually.",
,,,,,"Plywood form work including making, fixing & removing for structure -05 uses",
,,,,,"1:3:6 (40mm) concrete manual mix (volume batching)",
,,,,,"Cover slabs",
,,,,,"1:2:4 (20mm) concrete manual mix  (volume batching)",
,,,,,"Cutting, Bending & Placing tor steel reinforcement bars",
,,,,,"Vegetative cover improving around structures (5m x 10m) with planting Arecanut seedling in 1.5m x 1.5m grid, and planting Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlings in 3.5m x 3.5 m grid",
,,,,,"Supplying of volumetric plastic water meters",
,,,,,"Miscellaneous",
,,,,,"Contingancies 10%",
"1154","Orayanwatta","7.167989","80.606463","Water obtained from kokka oya. There is pump house, stock tank, filtering system. It is a well-functioning water scheme. The boundaries are marked.","Vegetative cover improving around structures (5m x 10m) with planting Arecanut seedling in 1.5m x 1.5m grid, and planting Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlings in 3.5m x 3.5 m grid","48,400.00"
,,,,,"Contingancies 10%",
"1154","Orayanwatta","7.165854","80.603752",,"Vegetative cover improving around structures (5m x 10m) with planting Arecanut seedling in 1.5m x 1.5m grid, and planting Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlings in 3.5m x 3.5 m grid","48,400.00"
,,,,,"Contingancies 10%",
"1154","Uda Iguruwatta","7.169269","80.611116","There is stock tank and filtering system. It is a well-functioning water scheme. The boundaries are not marked.","Vegetative cover improving around structures (5m x 10m) with planting Arecanut seedling in 1.5m x 1.5m grid, and planting Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlings in 3.5m x 3.5 m grid","48,400.00"
,,,,,"Contingancies 10%",
"1146","Lagumdeniya","7.164948","80.619099","There is stock tank and filtering system. It is a well-functioning water scheme.","Vegetative cover improving around structures (5m x 10m) with planting Arecanut seedling in 1.5m x 1.5m grid, and planting Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlings in 3.5m x 3.5 m grid","48,400.00"
,,,,,"Contingancies 10%",
"1146","Samarakoon hena","7.173831","80.622025","There is a stock tank but no formal water filtration system. Boundaries are not marked. It is  also advisable to construct establish a water filtration system and install water meter for the water consumers to prevent water wastage.","Vegetative cover improving around structures (5m x 10m) with planting Arecanut seedling in 1.5m x 1.5m grid, and planting Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlings in 3.5m x 3.5 m grid","24,200.00"
,,,,,"Contingancies 10%",
,,,,"Total",,"1,438,800.00"
