"Table 5.2: Key ON-FARM activities proposed for soil and water conservation in MWS-126-2","","","","","","","","","","","",""
"No","GN Division No","GN Division","Key Activities proposed for Soil and Water conservation","Priority based on Soil Erosion Hazard","Coordinates","Quantity","Proposed measure s","Uniti Cost  Rs","Total Cost  Rs","Contribution","Time frame for the implementation","NA"
,,,,,"N","E",,,,,,
"1","1155","Doluwa","1. Soil conservation practices - Mellagolla wattha (40°-60°)","3","7.182681","80.613211","1.25 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","312,500","Labour and other basic services by the Local community","0.25 Years"
,,,"2. Soil conservation practices - Doluwa school land (40°-60°)","1","7.186288","80.608481","1 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","250,000","Labour and other basic services by the Local community","0.25 Years"
,,,"3. Soil conservation practices - Ayurweda land (40°-60°)","2","7.185680","80.608099","1.25 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","312,500","Labour and other basic services by the Local community","0.25 Years"
"Sub Total","875,000",,,,,,,,,,,
"2","1151","Attuwewattha","1. Soil conservation practices)  - Pihilladeniya (45°-60°)","3","7.167823","80.584317","10 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","2,500,000","Labour and other basic services by the Local community","0.5 Years"
"Sub Total","2,500,000",,,,,,,,,,,
"3","1153","Inguruwattha","1. Soil conservation practices) - Inguruwattha GND (40°-60°)","1","7.177327","80.599926","26 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","6,500,000","Labour and other basic services by the Local community","1.5 Years"
"Sub Total","6,500,000",,,,,,,,,,,
"4","1136","Nawa Gurukele","No special issues are reported",,,,,,,,,
"5","1143","Thundeniya","1. Soil conservation practices - Thundeniya GND  (45°-60°)","1","7.161752","80.594110","20 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","5,000,000","Labour and other basic services by the Local community","1.5 Years"
"Sub Total","5,000,000",,,,,,,,,,,
"6","1144","Kahawatta","1. Soil conservation practices - Homegardens (30°-40°)","3","7.160902","80.607618","40 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","400 m-1","16,000,000","Labour and other basic services by the Local community","1.5 Years"
"Sub Total","16,000,000",,,,,,,,,,,
"7","1145","Gonatuwela","1. Soil conservation practices (20°-40°)","5","7.158594","80.620392","4 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","400 m-1","1,600,000","Labour and other basic services by the Local community","0.25 Years"
"Sub Total","1,600,000",,,,,,,,,,,
"8","1152","Wewathenna","1. Soil conservation practices - Sloppy land (40°-60°)","4","7.170456","80.593857","1.25 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","312,500","Labour and other basic services by the Local community","0.25 Years"
,,,"2. Soil conservation practices - Forest near the Wewathenna school (40°-60°)","5","7.164317","80.593723","1 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","250,000","Labour and other basic services by the Local community",
"Sub Total","562,500",,,,,,,,,,,
"9","1150","Gampolawatta","1. Soil conservation practices - Near the Rette Wanguwa (60°-70°)","5","7.163554","80.588652","1 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","250,000","Labour and other basic services by the Local community","0.25 Years"
"Sub Total","250,000",,,,,,,,,,,
"10","1149","Naranvita","1. Soil conservation practices (40°-60°)","1","7.17021","80.58392","24 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","6,000,000","Labour and other basic services by the Local community","1.5 Years"
"Sub Total","6,000,000",,,,,,,,,,,
"11","1154","Orayanwatta","1. Soil conservation practices (45°-65°) - Contained slopes all around the GND (Homegardens)","4","7.166092","80.604861","50 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","12,500,000","Labour and other basic services by the Local community","1.5 Years"
,,,"2. Soil conservation practices (45°-55°) - Public places","1","7.168911","80.603171","1 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","250,000","Labour and other basic services by the Local community","0.25 Years"
"Sub Total","12,750,000",,,,,,,,,,,
"12","1146","Lagumdeniya","1. Soil conservation practices (40°-45°)","1","7.171432","80.620915","50 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","12,500,000","Labour and other basic services by the Local community","1.5 Years"
"Sub Total","12,500,000",,,,,,,,,,,
"13","1156","Godawela","1. Soil conservation practices (45°-55°)","4","7.19221","80.613781","32 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","8,000,000","Labour and other basic services by the Local community","1.5 Years"
"Sub Total","8,000,000",,,,,,,,,,,
,,,,,,,,"Grand Total",,"72,537,500",,
