"Table 5.21: Key activities proposed for water quality improvement in MWS-126-2","","","","","","","","","","","","","",""
"No","GN Division No","GN Division","Non point sources of pollution","Coordinates","No  of Toilets","Point sources of pollution","Coordinates 1","Recommended water quality improvement measures","Unit Cost  Rs","Total Cost  Rs","Contributions  Local Community  LA  Project","Time frame for the implementation","NA","NA  1"
,,,,"N or X","E or Y",,,"N or X","E or Y",,,,,
"1","1155","Doluwa","Improper disposal of domestic waste",,,,,,,"Preparing a separate place in homegardens for disposing houshold waste",,"50,000","Local/Central governments","0.5 Years"
,,,,,,,,,,"Awareness programme on how to disposal household waste properly and converting them to usable products such as compost",,,,
,,,,,,,,,,"Facilitating garbage collection",,,,
"2","1151","Attuwewattha","Potential to add human waste - Pihilladeniya",,,"4",,,,,,,,
,,,,,,,,,,"Preparing a separate place in homegardens for disposing houshold waste",,"50,000","Local/Central governments","0.5 Years"
,,,,,,,,,,"Awareness programme on how to disposal household waste properly and converting them to usable products such as compost",,,,
,,,,,,,,,,"Facilitating garbage collection",,,,
"3","1153","Inguruwattha","No special issues reported",,,,,,,,,,,
"4","1136","Nawa Gurukele","No special issues reported",,,,,,,,,,,
"5","1143","Thundeniya","No special issues reported",,,,,,,,,,,
"6","1144","Kahawatta","No special issues reported",,,,,,,,,,,
"7","1145","Gonatuwela","No special issues reported",,,,,,,,,,,
"8","1152","Wewathenna","No special issues reported",,,,,,,,,,,
"9","1150","Gampolawatta","Improper disposal of domestic waste",,,,,,,"Preparing a separate place in homegardens for disposing houshold waste",,"50,000","Local/Central governments","0.5 Years"
,,,,,,,,,,"Awareness programme on how to disposal household waste properly and converting them to usable products such as compost",,,,
,,,,,,,,,,"Facilitating garbage collection",,,,
"10","1149","Naranvita","Potential to add human waste - Gurunnehela gama",,,"1",,,,,,,,
,,,"Improper disposal of domestic waste",,,,,,,"Preparing a separate place in homegardens for disposing houshold waste",,"50,000","Local/Central governments","0.5 Years"
,,,,,,,,,,"Awareness programme on how to disposal household waste properly and converting them to usable products such as compost",,,,
,,,,,,,,,,"Facilitating garbage collection",,,,
"11","1154","Orayanwatta","No special issues reported",,,,,,,,,,,
"12","1146","Lagumdeniya","Potential to add human waste - Ibban wewa",,,"1",,,,,,,,
,,,"Improper disposal of domestic waste",,,,,,,"Preparing a separate place in homegardens for disposing houshold waste",,"50,000","Local/Central governments","0.5 Years"
,,,,,,,,,,"Awareness programme on how to disposal household waste properly and converting them to usable products such as compost",,,,
,,,,,,,,,,"Facilitating garbage collection",,,,
"13","1156","Godawela","Potential to add human waste - Private toilets considering the four parts of the village",,,"1",,,,,,,,
,,,"Potential to add human waste - Private toilets considering the four parts of the village",,,"1",,,,,,,,
,,,"Potential to add human waste - Private toilets considering the four parts of the village",,,"1",,,,,,,,
,,,"Improper disposal of domestic waste",,,,,,,"Preparing a separate place in homegardens for disposing houshold waste",,"50,000","Local/Central governments","0.5 Years"
,,,,,,,,,,"Awareness programme on how to disposal household waste properly and converting them to usable products such as compost",,,,
,,,,,,,,,,"Facilitating garbage collection",,,,
,"Total",,,,,,,,,,,,,
