"Table 5.3: Key OFF-FARM activities proposed for soil and water conservation in MWS-126-2","","","","","","","","","","",""
"No","GN Division No","GN Division","Key Activities proposed for Soil and Water conservation","Priority based on Soil Erosion Hazard","Coordinates","Quantity","Proposed measure s","Total Cost  Rs","Contribution","Time frame for the implementation","NA"
,,,,,"N","E",,,,,
"1","1155","Doluwa","No special issues are reported",,,,,,,,
"2","1151","Attuwewattha","No special issues are reported",,,,,,,,
"3","1153","Inguruwattha","No special issues are reported",,,,,,,,
"4","1136","Nawa Gurukele","No special issues are reported",,,,,,,,
"5","1143","Thundeniya","1. Construction of a Retaining Wall","4","7.161530","80.597875","10 m long and 3.0 m  hight","Retaining Wall (Concrete)","1,171,500.00","By the project","0.25 Years"
,,,"2. Construction of a Retaining Wall","5","7.161772","80.602869","10 m long and 3.0 m  hight","Retaining Wall (Concrete)","1,171,500.00","By the project","0.25 Years"
"Sub Total","2,343,000.00",,,,,,,,,,
"6","1144","Kahawatta","No special issues are reported",,,,,,,,
"7","1145","Gonatuwela","No special issues are reported",,,,,,,,
"8","1152","Wewathenna","No special issues are reported",,,,,,,,
"9","1150","Gampolawatta","No special issues are reported",,,,,,,,
"10","1149","Naranvita","No special issues are reported",,,,,,,,
"11","1154","Orayanwatta","No special issues are reported",,,,,,,,
"12","1146","Lagumdeniya","1. Construction of a Retaining Wall","1","7.161902","80.628818","25 m long and 3 m high","Retaining Wall (Concrete)","2,909,500.00","By the project","0.25 Years"
"Sub Total","2,909,500.00",,,,,,,,,,
"13","1156","Godawela","No special issues are reported",,,,,,,,
,,,,,,,,"Grand Total","5,252,500.00",,
