"Table 5.4: Details of Reported landslides in MWS-126-2","","","","","","",""
"No","GN Division No","GN Division","Land Slides Others","Coordinates","NBRO Recommendation","Proposed Measures","NA"
,,,,"N or X","E or Y",,
"1","1155","Doluwa","Damage to the road and canal","7.183685","80.606156","Needs NBRO concern","It would be appropriate to put up a notice board prohibiting vehicle washing here and take legal action against violators."
"2","1151","Attuwewattha","The bridge is a dilapidated condition","7.168629","80.580535","Needs NBRO concern","Rehabilitation of the bridge"
"3","1153","Inguruwattha","No special issues reported",,,,
"4","1136","Nawa Gurukele","No special issues reported",,,,
"5","1143","Thundeniya","Landslide (The road cracked from subsidence)","7.16153","80.597875","Needs NBRO concern","Construction of a concrete retaining wall. (L = 10 m, H=3 m)"
,"1143","Thundeniya","Landslide  (The road cracked from subsidence)","7.161772","80.602869","Needs NBRO concern","Construction of a concrete retaining wall. (L = 10 m, H = 3 m)"
"6","1144","Kahawatta","No special issues reported",,,,
"7","1145","Gonatuwela","No special issues reported",,,,
"8","1152","Wewathenna","Landslide","7.169841","80.59171","Needs NBRO concern","Taking appropriate action on the recommendations of NBRO"
"9","1150","Gampolawatta","Landslide","7.16408","80.587176","NBRO is aware","Follow NBRO recommendations"
"10","1149","Naranvita","Flooding","7.177067","80.583179",,"Facilitate drainage"
"11","1154","Orayanwatta","No special issues reported",,,,
"12","1146","Lagumdeniya","Earthen dam collapse on road","7.168693","80.619338","NBRO is aware","Follow NBRO recommendations"
,,,"High risk landslide","7.158096","80.629467","NBRO is aware","Follow NBRO recommendations"
,,,"Sinking","7.161902","80.628818","Needs NBRO concern","Construction of a concrete retaining wall. (L = 25 m, H = 3 m)"
,,,"Road erosion","7.164988","80.622192","Needs NBRO concern","Construction of a culvert. [Head wall-LHS (L= 3 m, H = 2 m) Head wall-RHS (L = 2 m, H = 1.2 m) Hume pipe( L= 2.4 m, dia.= 600 mm)]"
,,,"Landslide","7.169993","80.617105","NBRO is aware","Follow NBRO recommendations"
"13","1156","Godawela","Breach of canal embankment","7.194008","80.608603","Needs NBRO concern","Taking appropriate action on the recommendations of NBRO"
