"Table 5.6: Details Salient features of minor tanks in MWS-126-2","",""
"Tank Name","Oruthota Thenna Wewa","Doluwa Wewa"
"GN","Doluwa","Doluwa"
"MWS","MWS-126-2","MWS-126-2"
"DS","Doluwa","Doluwa"
"District","Kandy","Kandy"
"Custodianship","DAD","DAD"
"Year of Construction",,
"Location (Lat)","7.182742","7.183976"
"Location (Lon)","80.614536","80.608169"
"Hydrological zone",,
"Water Surface Area (approx.) (ha)","0.4","0.25"
"Catchment Area (gross) (km2)",,
"Catchment Area (net) (km2)",,
"Total command area (ha)","30","15"
"Farmer Organization",,
"F.O. registration number",,
"Reservations are available or not",,
"Reservations are marked or not",,
"Bund","Concrete","Earthen"
"Bund Length (m)","26","100"
"Top width (m)","3","1.2"
"Visible bund height (m)","4.5","2"
"US & DS slopes (h/b)",,
"Availability of rip rap","No","no"
"Station (km+m)",,
"Type","CO","Morning Glory"
"Length (m)","0.6",
"Observed Afflux (m)",,
"Duration of spilling (days)",,
"No of Sluices (nos)","1","1"
"Station/s (km+m)",,
"Type/s",,
"Barrel size/s (mm)",,"600"
"command area of the sluice (ha)","30","15"
"Rectification Details","Replacement of sluice gate, desilting.","This tank is rehabilitated recently. No proposal to improve."
