"Table 5.10: Brief description of legal provisions","","","","","","","","","","","","","",""
"No","GN Division No","GN Division","Non point sources of pollution","Coordinates","No  of Toilets","Point sources of pollution","Coordinates 1","Recommended water quality improvement measures","Unit Cost  LKR","Total Cost  LKR","Contributions  Local Community  LA  Project","Time frame for the implementation","NA","NA  1"
,,,,"N or X","E or Y",,,"N or X","E or Y",,,,,
"1","1157","Megoda Kalugamuwa","Improper disposal of domestic waste",,,,,,,"Preparing a separate place in homegardens for disposing houshold waste",,"50,000","Local/Central governments","0.5 Years"
,,,,,,,,,,"Awareness programme on how to disposal household waste properly and converting them to usable products such as compost",,,,
,,,,,,,,,,"Facilitating garbage collection",,,,
"2","1161","Wariyagala","Potential to add human waste - Hilside Janapadaya",,,"5",,,,,,,,
,,,"Improper disposal of domestic waste",,,,,,,"Preparing a separate place in homegardens for disposing houshold waste",,"50,000","Local/Central governments","0.5 Years"
,,,,,,,,,,"Awareness programme on how to disposal household waste properly and converting them to usable products such as compost",,,,
,,,,,,,,,,"Facilitating garbage collection",,,,
"3","1160","Haloya","Potential to add human waste - Upland No. 02 Line-house",,,"2",,,,,,,,
,,,"Improper disposal of domestic waste",,,,,,,"Preparing a separate place in homegardens for disposing houshold waste",,"50,000","Local/Central governments","0.5 Years"
,,,,,,,,,,"Awareness programme on how to disposal household waste properly and converting them to usable products such as compost",,,,
,,,,,,,,,,"Facilitating garbage collection",,,,
"4","1137","Nillamba","Improper disposal of domestic waste",,,,,,,"Preparing a separate place in homegardens for disposing houshold waste",,"50,000","Local/Central governments","0.5 Years"
,,,,,,,,,,"Awareness programme on how to disposal household waste properly and converting them to usable products such as compost",,,,
,,,,,,,,,,"Facilitating garbage collection",,,,
"5","1162","Galoya","Potential to add human waste - Hadabima Janapadaya, Galoya",,,"12",,,,,,,,
,,,"Improper disposal of domestic waste",,,,,,,"Preparing a separate place in homegardens for disposing houshold waste",,"50,000","Local/Central governments","0.5 Years"
,,,,,,,,,,"Awareness programme on how to disposal household waste properly and converting them to usable products such as compost",,,,
,,,,,,,,,,"Facilitating garbage collection",,,,
"6","1158","Ganegoda","No special issues are reported",,,,,,,,,,,
,,,,,,,,,,"Grand Total",,"250,000",,
