"Table 5.28: Total estimated cost of production for the three-year period","","","","","","",""
"X","GN Division","Extent  ha","NA","NA  1","NA  2","NA  3","NA  4"
,,"2026","2027","2028",,,
,,"RP","DP","RP","DP","RP","DP"
"1157","Megoda Kalugamuwa","0.25","0","0.25","0","0.25","0"
"1161","Wariyagala","0.5","0","0.5","0","0.5","0"
"1160","Haloya","0.5","0","0.5","0","0.5","0"
"1137","Nillamba","0.5","0","0.5","0","0.5","0"
"1162","Galoya","0.5","0","0.5","0","0.5","0"
"1158","Ganegoda","0.25","0","0.25","0","0.25","0"
,"Total","2.5","0","2.5","0","2.5","0"
