"Table 5.3: Details of Reported landslides in MWS-127-1","","","","","","","","","","","",""
"No","GN Division No","GN Division","Key Activities proposed for Soil and Water conservation","Priority based on Soil Erosion Hazard","Coordinates","Quantity","Proposed measure s","Uniti Cost  LKR","Total Cost  LKR","Contribution","Time frame for the implementation","NA"
,,,,,"N","E",,,,,,
"1","1157","Megoda Kalugamuwa","1. Soil conservation practices - Megoda Kalugamuwa Upper Division (60°-70°)",,,,"4 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","1,000,000","Labour and other basic services by the Local community","0.25 Years"
"Sub Total","1,000,000",,,,,,,,,,,
"2","1161","Wariyagala","1. Soil conservation practices)  - Hilside Janapadaya (40°-60°)",,,,"20 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","5,000,000","Labour and other basic services by the Local community","1.5 Years"
"Sub Total","5,000,000",,,,,,,,,,,
"3","1160","Haloya","1. Soil conservation practices) - Watagoda (40°-60°)","4","7.218514","80.631004","4 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","1,000,000","Labour and other basic services by the Local community","0.5 Years"
,,,"2. Soil conservation practices - Haloya (40°-60°)","5","7.21314","80.620499","5 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","1,250,000","Labour and other basic services by the Local community","0.25 Years"
,,,"3. Soil conservation practices) - Araliya Uyana Agri Training School (40°-60°)","1","7.204565","80.630475","2.5 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","625,000","Labour and other basic services by the Local community","0.25 Years"
,,,"4. Soil conservation practices - Samurdhi Training Center (40°-60°)","4","7.206217","80.625578","1.5 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","375,000","Labour and other basic services by the Local community","0.25 Years"
"Sub Total","2,250,000",,,,,,,,,,,
"4","1137","Nillamba","1. Soil conservation practices) - Nilamba (70°-80°)","3","7.195934","80.636371","2 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","500,000","Labour and other basic services by the Local community","0.25 Years"
"Sub Total","500,000",,,,,,,,,,,
"5","1162","Galoya","1. Soil conservation practices - Land with a slight slope  (50°-70°)","3","7.217889","80.615791","4 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","1,000,000","Labour and other basic services by the Local community","0.25 Years"
"Sub Total","1,000,000",,,,,,,,,,,
"6","1158","Ganegoda","No special issues are reported",,,,,,,,,
,,,"Grand Total",,"9,750,000",,,,,,,
