"Table 5.35: Timeframe for the implementation","","","","","","",""
"Type","Items Needed","GNDs Requested","Number","Unit Cost  LKR","Total Cost  LKR","Contribution   GoSL","Final cost to LA  GoSL  LKR"
"Paddy","Tray","Megoda Kalugamuwa 100, Wariyagala150, Nillamba 100,  Galoya 200, Ganegoda 150, Haloya 100","800","80","64,000","0.50","32,000"
,"Electric fence","Megoda Kalugamuwa 2, Wariyagala 3, Nillamba 2,  Galoya 2, Ganegoda 3, Haloya 2","14","36,000","504,000","0.50","252,000"
"Vegetable","Capsicum","Megoda Kalugamuwa 4, Wariyagala 3, Nillamba 4,  Galoya 2, Ganegoda 3, Haloya 5","21","40/perches unit - 20g. 3,000","63,000","1.00","63,000"
,"Cabbage","Megoda Kalugamuwa 3, Wariyagala 3, Nillamba 2,  Galoya 2, Ganegoda 4, Haloya 4","18","40/perches unit - 20g. 6,000","108,000","1.00","108,000"
,"Beans","Megoda Kalugamuwa 4, Wariyagala 3, Nillamba 2,  Galoya 2, Ganegoda 3, Haloya 2","16","40/perches unit - 1500g. 4,500","72,000","1.00","72,000"
,"Tomato","Megoda Kalugamuwa 5, Wariyagala 3, Nillamba 2,  Galoya 2, Ganegoda 3, Haloya 2","17","40/perches unit - 10g. 6,000","102,000","1.00","102,000"
"Fruits","Banana","Megoda Kalugamuwa 50, Wariyagala 30, Nillamba 50,  Galoya 50, Ganegoda 40, Haloya 40","260","120","31,200","1.00","31,200"
,"Avocado","Megoda Kalugamuwa 10, Wariyagala 20, Nillamba 20,  Galoya 20, Ganegoda 30, Haloya 20","120","200","24,000","1.00","24,000"
,"Mango","Megoda Kalugamuwa 30, Wariyagala 30, Nillamba 25,  Galoya 25, Ganegoda 30, Haloya 25","270","300","81,000","1.00","81,000"
"Export Crops","Coffee","Megoda Kalugamuwa 150, Wariyagala 100, Nillamba 100,  Galoya 100, Ganegoda 75, Haloya 75","600","30","18,000","1.00","18,000"
,"Pepper","Megoda Kalugamuwa 100, Wariyagala 150, Nillamba 150,  Galoya 200, Ganegoda 150, Haloya 100","850","40","34,000","1.00","34,000"
,"Areca nut","Megoda Kalugamuwa 50, Wariyagala 75, Nillamba 75,  Galoya 50, Ganegoda 50, Haloya 75","375","40","15,000","1.00","15,000"
"Livestock","No of cow","Megoda Kalugamuwa 1 , Wariyagala 2 , Nillamba 1,  Galoya 1, Ganegoda 1, Haloya 1","7","250,000","1,750,000","0.50","875,000"
,"No of chicks","Megoda Kalugamuwa 50, Wariyagala 50, Nillamba 50,  Galoya 50, Ganegoda 50, Haloya 50","300","1,500","450,000","0.50","225,000"
"Protected Agriculture","Polytunel","Wariyagala 3, Nillamba 2","5","700,000","3,500,000","0.50","1,750,000"
"Value added products","Bee keeping (Box 4000/=  bees)","Megoda Kalugamuwa 5 , Wariyagala 5, Nillamba 5,  Galoya 5, Ganegoda 5, Haloya 5","30","8,000","240,000","0.75","180,000"
,"Black Pepper  (Balancing kit)","Megoda Kalugamuwa 1 , Wariyagala 2 , Nillamba 1,  Galoya 1, Ganegoda 1, Haloya 1","7","10,000","70,000","0.50","35,000"
"Total Cost",,,,,"7,126,200",,"3,897,200"
