"Table 5.5: Cost estimate of domestic water supply","","","","","",""
"GND No","Name of Spring and place","N","E","Observation","Description","Amount  LKR"
"1157","Spring near the 2nd mile post (2_Kanuwa)","7.217656","80.608152","There are no boundaries and no large trees and two wells have been built.(1.2m x 1.2m x 1.2m and 1.8m x 1.2m)  Water leaks from them. Spring water is taken through a 4\" PVC pipe and filled the wells. This is used as a public well.","Construction of curtain wall (0.075mm thk) with 1:2:4 (3/4\") concrete, 1/2\" dowels at 600mm x 600mm intervals and embedded with chicken mesh","253,000"
,,,,,"Plaster 12mm thick in 1:3 cement and sand finished smooth with gray cement floating",
,,,,,"Vegetative cover improving around structures (5m x 10m) with planting Arecanut seedling in 1.5m x 1.5m grid, and planting Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlings in 3.5m x 3.5 m grid",
,,,,,"Miscellaneous",
,,,,,"Contingancies 10%",
"1157","Kammalewatta well","7.208722","80.610838","There are no boundaries and no large trees and three wells have been built. Water leaks from them.  (1st well L=4m, W=2.5m, H=2m / 2nd well L=3.5m, W=3.5m, H=1m / 3rd well r=0.45m, H=3m). Previously, the Pradeshiya Sabha had been responsible for water distribution, but currently no proper maintenance.","Plaster 12mm thick in 1:3 cement and sand finished smooth with gray cement floating","319,000"
,,,,,"Construction of curtain wall (0.075mm thk) with 1:2:4 (3/4\") concrete, 1/2\" dowels at 600mm x 600mm intervals and embedded with chicken mesh",
,,,,,"Vegetative cover improving around structures (5m x 10m) with planting Arecanut seedling in 1.5m x 1.5m grid, and planting Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlings in 3.5m x 3.5 m grid",
,,,,,"Miscellaneous",
,,,,,"Contingancies 10%",
"1161","Spring near the Wariyagala Sri Muththumari Amman Kovil","7.213538","80.640320","Located in the Hanthana reserve. Water from water springs and a canal leading from the water springs is collected in a catchpit and distributed trough a stock tank. The catchpit has no cover and the boundaries are not marked.","Vegetative cover improving around structures (5m x 10m) with planting Arecanut seedling in 1.5m x 1.5m grid, and planting Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlings in 3.5m x 3.5 m grid","110,000"
,,,,,"Providing a protection net for catch pit",
,,,,,"Miscellaneous",
,,,,,"Contingancies 10%",
"1161","Spring at Mrs. P.A. Premawathi's land in Belin Janapadaya","7.197712","80.624772","On a small plot of land, a 3m deep well has been constructed using 900mm dia. Concrete rings. Villagers say that the water here scarce during the dry season. Villagers have become helpless due to water shortage.","Water Pump 2\" dia ( Without operator)","1,039,500"
,,,,,"Earth excavation for foundation or quarry materials and haul the surplus materials up to 30m by Manually.",
,,,,,"Construction of Concrete water storage tank of 20 cum - size internal t 3mx3mx2.5",
,,,,,"Establishing a water filtering system",
,,,,,"Miscellaneous",
,,,,,"Contingancies 10%",
"1160","Haloya water spring","7.210471","80.626635","A dam (L=6m, H=0.6m) is built across the Haloya canal and the water collected in it is sent to a stock tanks(L=0.4m, W=2.4m, H=1.8m), where the water distributed. There are filtration system and no boundaries.","Fabricating & fixing security weld mesh in open-type buildings in GI weld mesh 50mm x 50mm SWG 10, welded on 40mm x 40mm x 5mm angle frame complete with application of two coats enamel paint over two coats of anticorrosive paint and complete.All as per detail drawing No.CPC/CS/11/04/2017/TYPE-ST/07","335,500"
,,,,,"Establishing a water filtering system",
,,,,,"Vegetative cover improving around structures (5m x 10m) with planting Arecanut seedling in 1.5m x 1.5m grid, and planting Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlings in 3.5m x 3.5 m grid",
,,,,,"Miscellaneous",
,,,,,"Contingancies 10%",
"1160","Watagoda water spring","7.218988","80.628901","Water is drown from the watagoda main canal and distributed through a stock tank (Stock tank N-7.211897, E-80.622333). There are filtration system and no boundaries.","Establishing a water filtering system","324,500"
,,,,,"Vegetative cover improving around structures (5m x 10m) with planting Arecanut seedling in 1.5m x 1.5m grid, and planting Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlings in 3.5m x 3.5 m grid",
,,,,,"Miscellaneous",
,,,,,"Contingancies 10%",
