"Table 5.6: Cost estimate of minor irrigation related proposals with locations","","","","","",""
"GND No","Name of the Area","N","E","Observation","Description","Amount  LKR"
"1161","Hilside Janapadaya","7.213538","80.64032","Located in the Hanthana reserve. Water from water springs and a canal leading from the water springs is collected in a catchpit and distributed trough a stock tank. The catchpit has no cover and the boundaries are not marked.","Construction of Concrete water storage tank of 20 cum - size internal t 3mx3mx2.5","1,864,500"
,,,,,"Establishing of a filtering system",
,,,,,"Supplying of plastic volumetric water meters",
,,,,,"Miscellaneous",
,,,,,"Contingancies 10%",
"1161","Lower Janapadaya","7.207024","80.636796","The water source is wariyagala Ela. A 1.2m x 1.2m x 0.9m Size catchpit constructed and the water is taken to the stock tank and distributed. A stock tank (2.5m x 2.5m x 1.8m) has been constructed. A 8purch plot of land has been allocated for the filter system. (Stock tank Location - N 7.204563 / E 80.633077)","Establishing of a filtering system","1,408,000"
,,,,,"Supplying of plastic volumetric water meters",
,,,,,"Repairing the existing pipe lines",
,,,,,"Miscellaneous",
,,,,,"Contingancies 10%",
"1160","Haloya water spring","7.210471","80.626635","A dam (L=6m, H=0.6m) is built across the Haloya canal and the water collected in it is sent to a stock tanks(L=0.4m, W=2.4m, H=1.8m), where the water distributed. There are filtration system and no boundaries.","Vegetative cover improving around structures (5m x 10m) with planting Arecanut seedling in 1.5m x 1.5m grid, and planting Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlings in 3.5m x 3.5 m grid","385,000"
,,,,,"Fabricating & fixing security weld mesh in open-type buildings in GI weld mesh 50mm x 50mm SWG 10, welded on 40mm x 40mm x 5mm angle frame complete with application of two coats enamel paint over two coats of anticorrosive paint and complete.All as per detail drawing No.CPC/CS/11/04/2017/TYPE-ST/07",
,,,,,"Establishing of a filtering system",
,,,,,"Miscellaneous",
,,,,,"Contingancies 10%",
"1160","Watagoda water spring","7.218988","80.628901","Water is drown from the watagoda main canal and distributed through a stock tank (Stock tank N-7.211897, E-80.622333). There are filtration system and no boundaries.","Vegetative cover improving around structures (5m x 10m) with planting Arecanut seedling in 1.5m x 1.5m grid, and planting Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlings in 3.5m x 3.5 m grid","374,000"
,,,,,"Establishing of a filtering system",
,,,,,"Miscellaneous",
,,,,,"Contingancies 10%",
"1137","Nillamba","7.207041","80.637025","Located on Wariyagala GND. Water is drown from the Wariyagala canal and distributed.  There are no boundaries. The plumbing system is dilapidated. (Stock tanks and filtration system Location- N-7.205521, E-80.637339)","Vegetative cover improving around structures (5m x 10m) with planting Arecanut seedling in 1.5m x 1.5m grid, and planting Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlings in 3.5m x 3.5 m grid","374,000"
,,,,,"Construction of a maintenance room",
,,,,,"Miscellaneous",
,,,,,"Contingancies 10%",
"1137","Parana Nillamba","7.198816","80.644730","Water is drown from the Nillamba tank pita ela canal and distributed.  There are no boundaries.  (Stock tanks and filtration system Location- N-7.198579, E-80.644651). The water filtration system is not working properly.","Construction of new catchpit (1.2m x 1.2m x 0.9m)","126,500"
,,,,,"Earth excavation for foundation or quarry materials and haul the surplus materials up to 30m by Manually.",
,,,,,"Plywood form work including making, fixing & removing for structure -05 uses",
,,,,,"1:3:6 (40mm) concrete manual mix (volume batching)",
,,,,,"Vegetative cover improving around structures (5m x 10m) with planting Arecanut seedling in 1.5m x 1.5m grid, and planting Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlings in 3.5m x 3.5 m grid",
,,,,,"Tidying up",
,,,,,"Contingancies 10%",
"1137","Ihala Gramaya",,,"There are filtration system and no boundaries. (Stock tanks Location- N-7.198701, E-80.638971).","Vegetative cover improving around structures (5m x 10m) with planting Arecanut seedling in 1.5m x 1.5m grid, and planting Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlings in 3.5m x 3.5 m grid","96,800"
,,,,,"Contingancies 10%",
"1137","Nillamba","7.206154","80.637227","Located on Wariyagala GND. Water is drown from the Hillside canal and distributed through a stock tank (Stock tank L=1.5m W=1m H=1m). There are filtration system and no boundaries.","Vegetative cover improving around structures (5m x 10m) with planting Arecanut seedling in 1.5m x 1.5m grid, and planting Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlings in 3.5m x 3.5 m grid","374,000"
,,,,,"Establishing of a filtering system",
,,,,,"Miscellaneous",
,,,,,"Contingancies 10%",
"1137","Parana Nillamba","7.198816","80.644730","Water is drown from the Nillamba tank pita ela canal and distributed.  There are filtration system and no boundaries. (Stock tanks Location- N-7.198492, E-80.644747).","Construction of new catchpit (1.2m x 1.2m x 0.9m)","500,500"
,,,,,"Earth excavation for foundation or quarry materials and haul the surplus materials up to 30m by Manually.",
,,,,,"Plywood form work including making, fixing & removing for structure -05 uses",
,,,,,"1:3:6 (40mm) concrete manual mix (volume batching)",
,,,,,"Vegetative cover improving around structures (5m x 10m) with planting Arecanut seedling in 1.5m x 1.5m grid, and planting Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlings in 3.5m x 3.5 m grid",
,,,,,"Tidying up",
,,,,,"Establishing of a filtering system",
,,,,,"Vegetative cover improving around structures (5m x 10m) with planting Arecanut seedling in 1.5m x 1.5m grid, and planting Kumbuk/ Mee/ Godapara/ Kaduru/ Aththikka/ Wal Del/ Kekuna/ randomly mixed seedlings in 3.5m x 3.5 m grid",
,,,,,"Miscellaneous",
,,,,,"Contingancies 10%",
,,,,"Total",,"5,503,300"
