"Table 5.10: Cost estimate of minor irrigation related proposals with locations","","","","","",""
"GND No","Name of the Irrigation System","N","E","Observation","Description","Amount  Rs"
"1136","Halwattha pahala","7.193351","80.660489","The height of the anicut is not sufficient. (Existing anicut- L=10.5m, H=1.2m, W=0.45m)","Scarifying existing rock or concrete surface","154,000"
,,,,,"Supplying and fixing M.S. dowels spliced and dovetailed with wedge at one end 16mm dia. And 600mm long, boring holes to 0.3m depth in fixing",
,,,,,"Plywood form work including making, fixing & removing for structure -05 uses",
,,,,,"1:3:6 (40mm) concrete manual mix (volume batching)",
,,,,,"Tidying up",
,,,,,"Contingancies 10%",
"1132","Canal from Pitawela to Gamawela","7.155774","80.673273","Starting from Pitawala canal. The total length of canal is 1.5 Km. Some parts of the canal have been concreted (W=0.45m, H=0.3m). There is still about 1Km to be concreted. 35 Acres of paddy is cultivated from this canal.","Canals reservation protection by concrete lining  For  125mm thick , 0.5m  wide  and 0.4m high canal -double banking","2,596,000"
,,,,,"Stream / canal  reservation protection by earthfilling of  strip   of 1.5m to 2m wide  and average Depth of 0.5m",
,,,,,"Vegetative cover improving for narrow strips (1.5m-2.0m wide) with Arecanut seedlings at 1.5m spacing in 2 rows, Betel plants VP at 3m spacing in 1 row, Green gram as a cover crop",
,,,,,"Miscellaneous",
,,,,,"Contingancies 10%",
"1132","Canal from Pitawela to Pathane wela","7.156816","80.671928","Starting from mulgama kandura. The existing canal (W=0.3m, H=0.3m) is largely dilapidated. Therefore, paddy is not cultivated at present.15 acres of paddy have been cultivated from this canal.","Canal reservation protection by concrete lining  For  100mm thick , 0.3m  wide  and 0.3m high canal -double banking","1,325,500"
,,,,,"Stream / canal  reservation protection by earthfilling of  strip   of 1.5m to 2m wide  and average Depth of 0.5m",
,,,,,"Vegetative cover improving for narrow strips (1.5m-2.0m wide) with Arecanut seedlings at 1.5m spacing in 2 rows, Betel plants VP at 3m spacing in 1 row, Green gram as a cover crop",
,,,,,"Miscellaneous",
,,,,,"Contingancies 10%",
"1132","Nikagasmulla canal","7.150376","80.671125","The total length of canal is 1.9 Km. Some parts of the canal (W=0.6m, H=0.45m) have been concreted. There is still about 900m to be concreted. 35 Acres of paddy is cultivated from this canal. Water leaving other canals flows through this canal( Also used an outer canal).","Canals reservation protection by concrete lining  For  125mm thick , 0.5m  wide  and 0.4m high canal -double banking","2,596,000"
,,,,,"Stream / canal  reservation protection by earthfilling of  strip   of 1.5m to 2m wide  and average Depth of 0.5m",
,,,,,"Vegetative cover improving for narrow strips (1.5m-2.0m wide) with Arecanut seedlings at 1.5m spacing in 2 rows, Betel plants VP at 3m spacing in 1 row, Green gram as a cover crop",
,,,,,"Miscellaneous",
,,,,,"Contingancies 10%",
