"Table 5.2: Key ON-FARM activities proposed for soil and water conservation in MWS-128","","","","","","","","","","","",""
"No","GN Division No","GN Division","Key Activities proposed for Soil and Water conservation","Priority based on Soil Erosion Hazard","Coordinates","Quantity","Proposed measure s","Uniti Cost  Rs","Total Cost  Rs","Contribution","Time frame for the implementation","NA"
,,,,,"N","E",,,,,,
"1","1136","Nawa Nillamba","No special issues are reported",,,,,,,,,
"2","1132","Mulgama","No special issues are reported",,,,,,,,,
"3","1135","Palledelthota","No special issues are reported",,,,,,,,,
"4","1140","Thumpelawaka","1. Soil conservation practices) - Badrawathi Temple (45°-65°)","1","7.177851","80.670614","1 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","250,000","Labour and other basic services by the Local community","0.25 Years"
"Sub Total","250,000",,,,,,,,,,,
"5","1133","Pitawala","1. Soil conservation practices - C.G. Division  (40°-70°)","1","7.156825","80.691582","8 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","2,000,000","Labour and other basic services by the Local community","0.5 Years"
,,,"2. Soil conservation practices - Levelan Watta  (50°-60°)","5","7.149455","80.687256","50 ha","Live fencing/SALT and/or stone terracing/lock and spills, as applied","250 m-1","3,125,000","Labour and other basic services by the Local community","1.5 Years"
"Sub Total","5,125,000",,,,,,,,,,,
,,,,,,,,"Grand Total",,"5,375,000",,
