"Table 5.5: Details Salient features of minor tanks in MWS-128",""
"Tank Name","Nawa Nillamba Tank"
"GN","Nawa Nillamba"
"MWS","MWS-128"
"DS","Doluwa"
"District","Kandy"
"Custodianship","DAD"
"Year of Construction","Rehabilitated in 1980"
"Location (Lat)","7.201426"
"Location (Lon)","80.651900"
"Hydrological zone",
"Water Surface Area (approx.) (ha)",
"Catchment Area (gross) (km2)",
"Catchment Area (net) (km2)",
"Total command area (ha)",
"Farmer Organization",
"F.O. registration number",
"Reservations are available or not",
"Reservations are marked or not",
"Bund","Earthen"
"Bund Length (m)","60"
"Top width (m)","2.4"
"Visible bund height (m)","3.5"
"US & DS slopes (h/b)",
"Availability of rip rap","no"
"Station (km+m)",
"Type",
"Length (m)",
"Observed Afflux (m)",
"Duration of spilling (days)",
"No of Sluices (nos)","1"
"Station/s (km+m)",
"Type/s",
"Barrel size/s (mm)",
"command area of the sluice (ha)",
"Rectification Details","Rehabilitation of the tank and prevent leaking from the bund.
Now the tank is being used as a water supply source."
