"Table 5.6: Estimate for rehabilitation of  Nawa Nillamba Tank in Nawa Nillamba GND (1136)","",""
"Item","Description","Cost  Rs"
"1","Clearing the site, including site vegetation","12,000.00"
"2","Wet Silt removing from Canal or Tank beds and hauling the surplus materials up to 1.6 km distance by machinery. (This rate excluding of transporting of machinery)","288,360.00"
"3","Improvements to tank bund including filling potholes, runners etc..","10,000.00"
"4","Stripping topsoil and including cut and lift up to 1.5m and haul 60 m distance by machinery","1,330.56"
"5","Gravel excavation for Canal or Tank and haul the surplus materials up to 1.6 km distance by Machinery. (This rate excluding of transporting of machinery)","5,495.04"
"6","Forming tank bund machinery (This rate is excluding transporting machinery)","2,086.56"
"7","Transporting of earth moving machinery","20,000.00"
"8","Miscellaneous","727.84"
,"CIVIL COST","340,000.00"
,"Contingencies 10%","34,000.00"
,"TOTAL COST","374,000.00"
